Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,User_Attention,Trust Factor
14:51:57,1,70,44,41,0,4,1
14:51:58,2,70,23,40,0,4,1
14:51:59,3,70,42,40,0,4,1
14:52:00,4,92,51,3,0,4,1
14:52:01,5,92,64,45,0,4,1
14:52:02,6,92,54,45,0,4,1
14:52:03,7,92,36,46,0,4,1
14:52:04,8,92,15,46,0,4,1
14:52:05,9,92,25,46,0,4,1
14:52:06,10,92,31,45,0,4,1
14:52:07,11,92,58,45,0,4,1
14:52:08,12,93,51,45,0,4,1
14:52:09,13,93,70,46,0,4,1
14:52:10,14,94,24,45,0,4,1
14:52:11,15,94,38,46,0,4,1
14:52:12,16,94,43,46,0,4,1
14:52:13,17,94,41,47,0,4,1
14:52:14,18,94,46,46,0,4,1
14:52:15,19,94,46,48,0,4,1
14:52:16,20,94,45,46,0,4,1
14:52:17,21,94,53,47,0,4,1
14:52:18,22,94,44,46,0,4,1
14:52:19,23,94,40,47,0,4,1
14:52:20,24,96,61,46,0,4,1
14:52:21,25,96,43,47,0,4,1
14:52:22,26,96,48,47,0,4,1
14:52:23,27,96,39,46,0,4,1
14:52:24,28,96,49,47,0,4,1
14:52:25,29,96,33,47,0,4,1
14:52:26,30,96,57,47,0,4,1
14:52:27,31,96,61,46,0,4,1
14:52:28,32,96,21,46,0,4,1
14:52:29,33,96,46,47,0,4,1
14:52:30,34,91,63,47,0,4,1
14:52:31,35,91,44,46,0,4,1
14:52:32,36,91,60,46,0,4,1
14:52:33,37,91,58,47,0,4,1
14:52:34,38,91,68,46,0,4,1
14:52:35,39,91,47,47,0,4,1
14:52:36,40,91,55,46,0,4,1
14:52:37,41,91,31,47,0,4,1
14:52:38,42,91,43,47,0,4,1
14:52:39,43,91,53,46,0,4,1
14:52:40,44,90,42,46,0,4,1
14:52:41,45,90,42,46,0,4,1
14:52:42,46,90,45,46,0,4,1
14:52:43,47,90,46,46,0,4,1
14:52:44,48,91,53,47,0,4,1
14:52:45,49,91,45,46,0,4,1
14:52:46,50,91,67,46,1,4,1
14:52:47,51,91,77,46,0,4,1
14:52:48,52,90,75,46,0,4,1
14:52:49,53,90,74,48,0,4,1
14:52:50,54,90,77,46,0,4,1
14:52:51,55,90,76,46,0,4,1
14:52:52,56,90,74,47,0,4,1
14:52:53,57,90,73,2,1,4,1
14:52:54,58,90,76,2,0,4,1
14:52:55,59,90,68,2,0,4,1
14:52:56,60,90,39,1,0,4,1
14:52:57,61,90,33,1,0,4,1
14:52:58,62,90,33,1,0,4,1
14:52:59,63,90,31,1,0,4,1
14:53:00,64,90,47,1,0,4,1
14:53:01,65,90,40,1,0,4,1
14:53:02,66,90,47,1,0,4,1
14:53:03,67,90,39,1,0,4,1
14:53:04,68,90,36,1,0,4,1
14:53:05,69,89,28,1,0,4,1
14:53:06,70,89,32,1,0,4,1
14:53:07,71,89,34,3,0,4,1
14:53:08,72,89,32,3,0,4,1
14:53:09,73,89,40,3,0,4,1
14:53:10,74,88,35,3,0,4,1
14:53:11,75,88,34,3,0,4,1
14:53:12,76,88,34,32,1,4,1
14:53:13,77,88,38,9,0,4,1
14:53:14,78,88,41,7,0,4,1
14:53:15,79,88,44,100,0,4,1
14:53:16,80,88,26,113,0,4,1
14:53:17,81,88,27,113,0,4,1
14:53:18,82,88,30,110,0,4,1
14:53:19,83,88,34,112,0,4,1
14:53:20,84,90,42,112,0,4,1
14:53:21,85,90,42,113,0,4,1
14:53:22,86,90,30,109,0,4,1
14:53:23,87,90,28,85,0,4,1
14:53:24,88,90,24,110,0,4,1
14:53:25,89,90,30,5,0,4,1
14:53:26,90,90,31,2,0,4,1
14:53:27,91,90,30,2,0,4,1
14:53:28,92,93,41,3,0,4,1
14:53:29,93,93,35,3,0,4,1
14:53:30,94,93,33,3,0,4,1
14:53:31,95,93,38,3,0,4,1
14:53:32,96,93,28,3,0,4,1
14:53:33,97,93,43,3,0,4,1
14:53:34,98,93,38,3,0,4,1
14:53:35,99,93,51,3,1,4,1
14:53:36,100,93,39,2,0,4,1
14:53:37,101,93,35,2,0,4,1
14:53:38,102,93,34,27,0,4,1
14:53:39,103,93,33,16,0,4,1
14:53:40,104,93,42,20,0,4,1
14:53:41,105,93,32,14,0,4,1
14:53:42,106,94,37,3,0,4,1
14:53:43,107,94,37,79,0,4,1
14:53:44,108,95,55,41,0,4,1
14:53:45,109,95,45,42,0,4,1
14:53:46,110,96,51,42,0,4,1
14:53:47,111,96,40,41,0,4,1
14:53:48,112,96,45,41,0,4,1
14:53:49,113,96,45,42,0,4,1
14:53:50,114,96,47,41,0,4,1
14:53:51,115,96,50,42,0,4,1
14:53:52,116,96,47,41,0,4,1
14:53:53,117,96,36,41,0,4,1
14:53:54,118,96,34,41,0,4,1
14:53:55,119,96,34,41,0,4,1
14:53:56,120,96,35,41,0,4,1
14:53:57,121,96,44,41,0,4,1
14:53:58,122,96,51,41,0,4,1
14:53:59,123,96,49,41,0,4,1
14:54:00,124,95,47,42,0,4,1
14:54:01,125,95,46,41,0,4,1
14:54:02,126,95,48,41,0,4,1
14:54:03,127,95,49,42,0,4,1
14:54:04,128,95,47,41,0,4,1
14:54:05,129,95,47,41,0,4,1
14:54:06,130,95,44,41,0,4,1
14:54:07,131,95,46,41,0,4,1
14:54:08,132,95,46,43,0,4,1
14:54:09,133,95,45,41,0,4,1
14:54:10,134,95,49,42,0,4,1
14:54:11,135,95,54,42,0,4,1
14:54:12,136,95,48,41,0,4,1
14:54:13,137,95,48,42,0,4,1
14:54:14,138,95,52,42,0,4,1
14:54:15,139,95,48,42,0,4,1
14:54:16,140,95,50,41,0,4,1
14:54:17,141,95,46,41,0,4,1
14:54:18,142,95,49,41,0,4,1
14:54:19,143,95,47,41,0,4,1
14:54:20,144,95,47,41,0,4,1
14:54:21,145,95,50,41,0,4,1
14:54:22,146,95,47,42,0,4,1
14:54:23,147,95,48,41,0,4,1
14:54:24,148,95,51,41,0,4,1
14:54:25,149,95,33,41,0,4,1
14:54:26,150,95,31,42,0,4,1
14:54:27,151,95,30,41,0,4,1
14:54:28,152,95,31,42,0,4,1
14:54:29,153,95,52,41,0,4,1
14:54:30,154,93,54,42,0,4,1
14:54:31,155,93,55,42,0,4,1
14:54:32,156,93,46,42,0,4,1
14:54:33,157,93,47,42,0,4,1
14:54:34,158,93,44,41,0,4,1
14:54:35,159,93,41,41,0,4,1
14:54:36,160,93,45,42,0,4,1
14:54:37,161,91,42,42,0,4,1
14:54:38,162,91,40,42,0,4,1
14:54:39,163,91,43,41,0,4,1
14:54:40,164,91,46,41,0,4,1
14:54:41,165,91,38,41,0,4,1
14:54:42,166,91,38,41,0,4,1
14:54:43,167,91,37,42,0,4,1
14:54:44,168,91,37,42,0,4,1
14:54:45,169,91,34,42,0,4,1
14:54:46,170,91,43,41,0,4,1
14:54:47,171,91,42,42,0,4,1
14:54:48,172,91,35,42,0,4,1
14:54:49,173,91,38,41,0,4,1
14:54:50,174,92,33,42,0,4,1
14:54:51,175,92,42,42,0,4,1
14:54:52,176,92,49,41,0,4,1
14:54:53,177,92,44,41,0,4,1
14:54:54,178,92,42,41,0,4,1
14:54:55,179,92,41,42,0,4,1
14:54:56,180,92,41,42,0,4,1
14:54:57,181,92,32,42,0,4,1
14:54:58,182,92,39,41,0,4,1
14:54:59,183,92,40,41,0,4,1
14:55:00,184,93,44,41,0,4,1
14:55:01,185,93,38,41,0,4,1
14:55:02,186,93,42,41,0,4,1
14:55:03,187,93,35,42,0,4,1
14:55:04,188,93,40,41,0,4,1
14:55:05,189,93,42,41,0,4,1
14:55:06,190,93,36,41,0,4,1
14:55:07,191,93,33,42,0,4,1
14:55:08,192,93,32,41,0,4,1
14:55:09,193,93,39,41,0,4,1
14:55:10,194,92,35,41,0,4,1
14:55:11,195,92,34,42,0,4,1
14:55:12,196,92,35,42,0,4,1
14:55:13,197,92,31,42,0,4,1
14:55:14,198,92,32,42,0,4,1
14:55:15,199,92,37,41,0,4,1
14:55:16,200,92,34,42,0,4,1
14:55:17,201,92,35,41,0,4,1
14:55:18,202,92,32,42,0,4,1
14:55:19,203,92,43,42,0,4,1
14:55:20,204,92,35,42,0,4,1
14:55:21,205,92,35,42,0,4,1
14:55:22,206,92,33,41,0,4,1
14:55:23,207,92,41,42,0,4,1
14:55:24,208,92,44,42,0,4,1
14:55:25,209,92,38,42,0,4,1
14:55:26,210,92,50,41,0,4,1
14:55:27,211,92,44,42,0,4,1
14:55:28,212,92,36,42,0,4,1
14:55:29,213,92,48,42,0,4,1
14:55:30,214,94,48,42,0,4,1
14:55:31,215,94,43,41,0,4,1
14:55:32,216,94,41,42,0,4,1
14:55:33,217,94,40,42,0,4,1
14:55:34,218,94,49,42,0,4,1
14:55:35,219,94,40,41,0,4,1
14:55:36,220,94,44,42,0,4,1
14:55:37,221,94,53,42,0,4,1
14:55:38,222,94,37,42,0,4,1
14:55:39,223,94,39,41,0,4,1
14:55:40,224,94,35,42,0,4,1
14:55:41,225,94,36,42,0,4,1
14:55:42,226,94,34,42,0,4,1
14:55:43,227,94,32,41,0,4,1
