LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (C),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0345,0.0409,-0.0572,35.09,5,1014.59,30.6,0,8,17:20:34:227
0.014,0.0318,-0.039,35.09,5,1014.62,30.6,0,1010,17:20:35:229
0.0299,0.0329,-0.0139,35.09,5,1014.79,30.6,0,2009,17:20:36:228
-0.0121,0.0091,0.0653,35.09,5,1014.68,30.7,0,3011,17:20:37:230
0.0212,0.0693,-0.0277,35.09,5,1014.63,30.7,0,4009,17:20:38:228
-0.025,-0.045,0.0218,35.09,5,1014.61,30.7,0,5009,17:20:39:228
-0.0068,0.0349,0.0264,35.09,5,1014.47,30.7,0,6009,17:20:40:228
0.0577,-0.0084,0.0411,35.09,5,1014.37,30.7,0,7009,17:20:41:228
-0.0188,0.0063,0.0167,35.09,5,1014.39,30.7,0,8010,17:20:42:229
0.0138,-0.0179,-0.0119,35.09,5,1014.35,30.7,0,9009,17:20:43:228
0.0174,0.0018,0.0628,35.09,5,1014.31,30.7,0,10009,17:20:44:228
0.0643,0.0236,-0.0223,35.09,5,1014.25,30.7,0,11009,17:20:45:228
-0.031,0.0097,0.0174,35.09,5,1014.25,30.6,0,12009,17:20:46:228
-0.0283,-0.038,0.0232,35.09,5,1014.34,30.6,0,13009,17:20:47:228
0.0619,0.1812,0.0243,35.09,5,1014.34,30.6,0,14009,17:20:48:228
-0.0473,-0.0393,0.0305,35.09,5,1014.41,30.6,0,15009,17:20:49:228
-0.0022,-0.1084,-0.0541,35.09,5,1014.34,30.6,0,16009,17:20:50:228
0.0106,0.042,0.0093,35.09,5,1014.34,30.6,0,17009,17:20:51:228
0.0582,-0.0176,-0.0302,35.09,5,1014.41,30.5,0,18009,17:20:52:228
-0.0192,-0.0174,-0.0077,35.09,5,1014.44,30.5,0,19009,17:20:53:228
-0.0244,-0.0448,-0.0499,35.09,5,1014.49,30.6,0,20009,17:20:54:228
0.0051,-0.0203,-0.0125,29.14,5,1014.41,30.6,0,21009,17:20:55:228
0.0427,-0.0555,-0.0041,29.14,5,1014.32,30.6,0,22009,17:20:56:228
0.0624,-0.006,0.0136,29.14,5,1014.3,30.5,0,23009,17:20:57:228
0.0957,-0.0231,0.0034,29.14,5,1014.34,30.5,0,24010,17:20:58:229
-0.0529,0.0363,0.0196,29.14,5,1014.4,30.5,0,25009,17:20:59:228
-0.033,0.0541,0.0592,43.29,5,1014.38,30.4,0,26009,17:21:00:228
-0.0796,-0.0346,-0.0372,43.29,5,1014.44,30.4,0,27010,17:21:01:229
