Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active
14:51:57,1,70,44,41,0
14:51:58,2,70,23,40,0
14:51:59,3,70,42,40,0
14:52:00,4,70,51,3,0
14:52:01,5,70,64,45,0
14:52:02,6,70,54,45,0
14:52:03,7,70,36,46,0
14:52:04,8,70,15,46,0
14:52:05,9,70,25,46,0
14:52:06,10,70,31,45,0
14:52:07,11,70,58,45,0
14:52:08,12,80,51,45,0
14:52:09,13,80,70,46,0
14:52:10,14,77,24,45,0
14:52:11,15,77,38,46,0
14:52:12,16,77,43,46,0
14:52:13,17,86,41,47,0
14:52:14,18,86,46,46,0
14:52:15,19,86,46,48,0
14:52:16,20,83,45,46,0
14:52:17,21,83,53,47,0
14:52:18,22,83,44,46,0
14:52:19,23,90,40,47,0
14:52:20,24,93,61,46,0
14:52:21,25,93,43,47,0
14:52:22,26,93,48,47,0
14:52:23,27,92,39,46,0
14:52:24,28,92,49,47,0
14:52:25,29,92,33,47,0
14:52:26,30,90,57,47,0
14:52:27,31,90,61,46,0
14:52:28,32,90,21,46,0
14:52:29,33,89,46,47,0
14:52:30,34,90,63,47,0
14:52:31,35,90,44,46,0
14:52:32,36,90,60,46,0
14:52:33,37,90,58,47,0
14:52:34,38,90,68,46,0
14:52:35,39,90,47,47,0
14:52:36,40,95,55,46,0
14:52:37,41,95,31,47,0
14:52:38,42,95,43,47,0
14:52:39,43,97,53,46,0
14:52:40,44,96,42,46,0
14:52:41,45,96,42,46,0
14:52:42,46,96,45,46,0
14:52:43,47,98,46,46,0
14:52:44,48,97,53,47,0
14:52:45,49,97,45,46,0
14:52:46,50,97,67,46,1
14:52:47,51,91,77,46,0
14:52:48,52,88,75,46,0
14:52:49,53,88,74,48,0
14:52:50,54,88,77,46,0
14:52:51,55,89,76,46,0
14:52:52,56,89,74,47,0
14:52:53,57,89,73,2,1
14:52:54,58,84,76,2,0
14:52:55,59,84,68,2,0
14:52:56,60,84,39,1,0
14:52:57,61,84,33,1,0
14:52:58,62,84,33,1,0
14:52:59,63,84,31,1,0
14:53:00,64,88,47,1,0
14:53:01,65,88,40,1,0
14:53:02,66,88,47,1,0
14:53:03,67,86,39,1,0
14:53:04,68,86,36,1,0
14:53:05,69,88,28,1,0
14:53:06,70,89,32,1,0
14:53:07,71,89,34,3,0
14:53:08,72,89,32,3,0
14:53:09,73,87,40,3,0
14:53:10,74,87,35,3,0
14:53:11,75,87,34,3,0
14:53:12,76,87,34,32,1
14:53:13,77,81,38,9,0
14:53:14,78,81,41,7,0
14:53:15,79,81,44,100,0
14:53:16,80,80,26,113,0
14:53:17,81,80,27,113,0
14:53:18,82,80,30,110,0
14:53:19,83,80,34,112,0
14:53:20,84,81,42,112,0
14:53:21,85,81,42,113,0
14:53:22,86,81,30,109,0
14:53:23,87,81,28,85,0
14:53:24,88,81,24,110,0
14:53:25,89,81,30,5,0
14:53:26,90,86,31,2,0
14:53:27,91,86,30,2,0
14:53:28,92,86,41,3,0
14:53:29,93,85,35,3,0
14:53:30,94,85,33,3,0
14:53:31,95,85,38,3,0
14:53:32,96,82,28,3,0
14:53:33,97,82,43,3,0
14:53:34,98,82,38,3,0
14:53:35,99,82,51,3,1
14:53:36,100,82,39,2,0
14:53:37,101,82,35,2,0
14:53:38,102,82,34,27,0
14:53:39,103,82,33,16,0
14:53:40,104,82,42,20,0
14:53:41,105,82,32,14,0
14:53:42,106,82,37,3,0
14:53:43,107,82,37,79,0
14:53:44,108,81,55,41,0
14:53:45,109,81,45,42,0
14:53:46,110,79,51,42,0
14:53:47,111,79,40,41,0
14:53:48,112,79,45,41,0
14:53:49,113,78,45,42,0
14:53:50,114,78,47,41,0
14:53:51,115,78,50,42,0
14:53:52,116,78,47,41,0
14:53:53,117,78,36,41,0
14:53:54,118,78,34,41,0
14:53:55,119,83,34,41,0
14:53:56,120,83,35,41,0
14:53:57,121,83,44,41,0
14:53:58,122,87,51,41,0
14:53:59,123,87,49,41,0
14:54:00,124,86,47,42,0
14:54:01,125,86,46,41,0
14:54:02,126,86,48,41,0
14:54:03,127,84,49,42,0
14:54:04,128,84,47,41,0
14:54:05,129,84,47,41,0
14:54:06,130,90,44,41,0
14:54:07,131,90,46,41,0
14:54:08,132,90,46,43,0
14:54:09,133,88,45,41,0
14:54:10,134,89,49,42,0
14:54:11,135,89,54,42,0
14:54:12,136,89,48,41,0
14:54:13,137,89,48,42,0
14:54:14,138,89,52,42,0
14:54:15,139,89,48,42,0
14:54:16,140,89,50,41,0
14:54:17,141,89,46,41,0
14:54:18,142,89,49,41,0
14:54:19,143,89,47,41,0
14:54:20,144,89,47,41,0
14:54:21,145,89,50,41,0
14:54:22,146,89,47,42,0
14:54:23,147,87,48,41,0
14:54:24,148,87,51,41,0
14:54:25,149,87,33,41,0
14:54:26,150,85,31,42,0
14:54:27,151,85,30,41,0
14:54:28,152,85,31,42,0
14:54:29,153,85,52,41,0
14:54:30,154,85,54,42,0
14:54:31,155,85,55,42,0
14:54:32,156,85,46,42,0
14:54:33,157,87,47,42,0
14:54:34,158,87,44,41,0
14:54:35,159,87,41,41,0
14:54:36,160,90,45,42,0
14:54:37,161,85,42,42,0
14:54:38,162,85,40,42,0
14:54:39,163,85,43,41,0
14:54:40,164,84,46,41,0
14:54:41,165,84,38,41,0
14:54:42,166,84,38,41,0
14:54:43,167,84,37,42,0
14:54:44,168,84,37,42,0
14:54:45,169,84,34,42,0
14:54:46,170,84,43,41,0
14:54:47,171,84,42,42,0
14:54:48,172,84,35,42,0
14:54:49,173,85,38,41,0
14:54:50,174,86,33,42,0
14:54:51,175,86,42,42,0
14:54:52,176,86,49,41,0
14:54:53,177,84,44,41,0
14:54:54,178,84,42,41,0
14:54:55,179,84,41,42,0
14:54:56,180,84,41,42,0
14:54:57,181,84,32,42,0
14:54:58,182,84,39,41,0
14:54:59,183,81,40,41,0
14:55:00,184,81,44,41,0
14:55:01,185,81,38,41,0
14:55:02,186,81,42,41,0
14:55:03,187,82,35,42,0
14:55:04,188,82,40,41,0
14:55:05,189,82,42,41,0
14:55:06,190,81,36,41,0
14:55:07,191,81,33,42,0
14:55:08,192,81,32,41,0
14:55:09,193,80,39,41,0
14:55:10,194,82,35,41,0
14:55:11,195,82,34,42,0
14:55:12,196,82,35,42,0
14:55:13,197,83,31,42,0
14:55:14,198,83,32,42,0
14:55:15,199,83,37,41,0
14:55:16,200,90,34,42,0
14:55:17,201,90,35,41,0
14:55:18,202,90,32,42,0
14:55:19,203,87,43,42,0
14:55:20,204,90,35,42,0
14:55:21,205,90,35,42,0
14:55:22,206,90,33,41,0
14:55:23,207,87,41,42,0
14:55:24,208,87,44,42,0
14:55:25,209,87,38,42,0
14:55:26,210,87,50,41,0
14:55:27,211,87,44,42,0
14:55:28,212,87,36,42,0
14:55:29,213,87,48,42,0
14:55:30,214,84,48,42,0
14:55:31,215,84,43,41,0
14:55:32,216,84,41,42,0
14:55:33,217,83,40,42,0
14:55:34,218,83,49,42,0
14:55:35,219,83,40,41,0
14:55:36,220,79,44,42,0
14:55:37,221,79,53,42,0
14:55:38,222,79,37,42,0
14:55:39,223,83,39,41,0
14:55:40,224,82,35,42,0
14:55:41,225,82,36,42,0
14:55:42,226,82,34,42,0
14:55:43,227,83,32,41,0
14:55:44,228,83,49,42,0
14:55:45,229,83,49,41,0
14:55:46,230,81,53,42,0
14:55:47,231,81,50,41,0
14:55:48,232,81,37,42,0
14:55:49,233,79,34,42,0
14:55:50,234,80,31,41,0
14:55:51,235,80,32,42,0
14:55:52,236,80,32,42,0
14:55:53,237,81,31,42,0
14:55:54,238,81,32,42,0
14:55:55,239,81,31,42,0
14:55:56,240,80,32,42,0
14:55:57,241,80,31,42,0
14:55:58,242,80,32,42,0
14:55:59,243,83,33,42,0
14:56:00,244,83,31,41,0
14:56:01,245,83,31,41,0
14:56:02,246,83,32,42,0
14:56:03,247,82,31,42,0
14:56:04,248,82,33,41,0
14:56:05,249,82,32,41,0
14:56:06,250,86,33,42,0
14:56:07,251,86,33,42,0
14:56:08,252,86,33,42,0
14:56:09,253,82,33,42,0
14:56:10,254,82,32,42,0
14:56:11,255,82,32,41,0
14:56:12,256,84,31,42,0
14:56:13,257,84,30,42,0
14:56:14,258,84,33,42,0
14:56:15,259,82,33,41,0
14:56:16,260,82,32,42,0
14:56:17,261,82,32,42,0
14:56:18,262,85,32,42,0
14:56:19,263,85,34,42,0
14:56:20,264,85,32,42,0
14:56:21,265,87,32,42,0
14:56:22,266,87,32,41,0
14:56:23,267,87,32,42,0
14:56:24,268,86,33,42,0
14:56:25,269,86,31,42,0
14:56:26,270,86,32,42,0
14:56:27,271,83,34,42,0
14:56:28,272,83,32,42,0
14:56:29,273,83,34,42,0
14:56:30,274,84,37,42,0
14:56:31,275,84,41,42,0
14:56:32,276,84,33,41,0
14:56:33,277,81,32,43,0
14:56:34,278,81,31,42,0
14:56:35,279,81,32,42,0
14:56:36,280,78,34,41,0
14:56:37,281,78,32,42,0
14:56:38,282,78,31,41,0
14:56:39,283,76,32,42,0
14:56:40,284,76,34,42,0
14:56:41,285,76,32,42,0
14:56:42,286,87,32,42,0
14:56:43,287,87,32,43,0
14:56:44,288,87,32,41,0
14:56:45,289,87,32,42,0
14:56:46,290,87,34,41,0
14:56:47,291,87,34,42,0
14:56:48,292,87,34,42,0
14:56:49,293,87,35,42,0
14:56:50,294,84,34,42,0
14:56:51,295,84,34,41,0
14:56:52,296,84,33,42,0
14:56:53,297,83,33,42,0
14:56:54,298,83,34,41,0
14:56:55,299,83,33,43,0
14:56:56,300,84,32,42,0
14:56:57,301,84,34,42,0
14:56:58,302,84,32,42,0
14:56:59,303,77,35,41,0
14:57:00,304,77,32,42,0
14:57:01,305,77,32,42,0
14:57:02,306,74,31,42,0
14:57:03,307,74,32,41,0
14:57:04,308,74,33,42,0
14:57:05,309,82,39,42,0
14:57:06,310,82,39,42,0
14:57:07,311,82,37,42,0
14:57:08,312,81,32,41,0
14:57:09,313,81,36,42,0
14:57:10,314,81,38,42,0
14:57:11,315,82,40,41,0
14:57:12,316,82,40,43,0
14:57:13,317,82,40,41,0
14:57:14,318,85,40,41,0
14:57:15,319,85,41,42,0
14:57:16,320,85,39,42,0
14:57:17,321,81,40,43,0
14:57:18,322,81,41,42,0
14:57:19,323,81,50,42,0
14:57:20,324,82,45,41,0
14:57:21,325,82,41,41,0
14:57:22,326,82,42,42,0
14:57:23,327,83,42,42,0
14:57:24,328,83,41,42,0
14:57:25,329,83,42,43,0
14:57:26,330,80,42,42,0
14:57:27,331,80,43,42,0
14:57:28,332,80,38,42,0
14:57:29,333,82,34,42,0
14:57:30,334,82,44,41,0
14:57:31,335,82,41,43,0
14:57:32,336,82,45,42,0
14:57:33,337,86,38,42,0
14:57:34,338,86,42,42,0
14:57:35,339,86,43,42,0
14:57:36,340,79,45,43,0
14:57:37,341,79,46,42,0
14:57:38,342,79,45,41,0
14:57:39,343,76,50,42,0
14:57:40,344,76,49,42,0
14:57:41,345,76,48,42,0
14:57:42,346,76,46,41,0
