Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active
15:50:20,1,70,51,50,0
15:50:21,2,70,58,51,0
15:50:22,3,70,59,50,0
15:50:23,4,70,52,50,0
15:50:24,5,70,47,50,0
15:50:25,6,70,35,50,0
15:50:26,7,70,43,50,0
15:50:27,8,70,40,50,0
15:50:28,9,70,61,50,0
15:50:29,10,70,49,50,0
15:50:30,11,78,59,50,0
15:50:31,12,78,68,51,0
15:50:32,13,78,60,50,0
15:50:33,14,77,61,51,0
15:50:34,15,77,19,51,0
15:50:35,16,77,75,51,0
15:50:36,17,86,38,51,0
15:50:37,18,86,46,50,0
15:50:38,19,86,52,50,0
15:50:39,20,83,70,50,0
15:50:40,21,83,69,51,0
15:50:41,22,83,72,51,0
15:50:42,23,90,72,50,0
15:50:43,24,93,72,50,0
15:50:44,25,91,58,51,0
15:50:45,26,91,46,50,0
15:50:46,27,92,50,50,0
15:50:47,28,92,51,49,0
15:50:48,29,91,55,50,0
15:50:49,30,91,26,49,0
15:50:50,31,91,46,50,0
15:50:51,32,90,62,49,0
15:50:52,33,90,41,50,0
15:50:53,34,90,28,49,0
15:50:54,35,90,33,50,0
15:50:55,36,90,38,49,0
15:50:56,37,90,36,49,0
15:50:57,38,91,30,49,0
15:50:58,39,91,34,49,0
15:50:59,40,91,32,50,0
15:51:00,41,96,30,49,0
15:51:01,42,96,32,49,0
15:51:02,43,96,44,49,0
15:51:03,44,96,46,49,0
15:51:04,45,96,29,50,0
15:51:05,46,97,46,49,0
15:51:06,47,97,43,50,0
15:51:07,48,97,18,50,0
15:51:08,49,98,42,38,0
15:51:09,50,98,44,34,0
15:51:10,51,98,38,48,0
15:51:11,52,88,36,50,0
15:51:12,53,88,25,50,0
15:51:13,54,88,33,49,0
15:51:14,55,89,36,49,0
15:51:15,56,89,40,50,0
15:51:16,57,89,60,49,0
15:51:17,58,84,73,50,0
15:51:18,59,84,51,50,0
15:51:19,60,84,57,49,0
15:51:20,61,84,66,50,0
15:51:21,62,84,31,49,0
15:51:22,63,84,58,50,0
15:51:23,64,88,62,50,0
15:51:24,65,85,36,49,0
15:51:25,66,84,68,50,0
15:51:26,67,84,60,50,0
15:51:27,68,84,52,50,0
15:51:28,69,88,34,50,0
15:51:29,70,88,26,50,0
15:51:30,71,88,46,50,0
15:51:31,72,87,68,50,0
15:51:32,73,87,75,50,0
15:51:33,74,87,70,51,0
15:51:34,75,88,72,49,0
15:51:35,76,88,54,50,0
15:51:36,77,88,53,49,0
15:51:37,78,79,58,50,0
15:51:38,79,79,53,49,0
15:51:39,80,79,44,50,0
15:51:40,81,80,37,50,0
15:51:41,82,80,44,50,0
15:51:42,83,80,42,50,0
15:51:43,84,80,29,51,0
15:51:44,85,83,17,50,0
15:51:45,86,82,15,50,0
15:51:46,87,82,50,50,0
15:51:47,88,82,15,50,0
15:51:48,89,83,19,50,0
15:51:49,90,86,28,49,0
15:51:50,91,86,29,50,0
15:51:51,92,86,34,50,0
15:51:52,93,86,42,51,0
15:51:53,94,82,30,50,0
15:51:54,95,82,34,50,0
15:51:55,96,82,52,50,0
15:51:56,97,81,49,51,0
15:51:57,98,81,35,51,0
15:51:58,99,82,39,50,0
15:51:59,100,82,38,51,0
15:52:00,101,82,40,50,0
15:52:01,102,82,39,51,0
15:52:02,103,82,53,51,0
15:52:03,104,82,38,51,0
15:52:04,105,82,34,51,0
15:52:05,106,82,32,51,0
15:52:06,107,82,31,51,0
15:52:07,108,81,31,51,0
15:52:08,109,81,36,51,0
15:52:09,110,79,41,50,0
15:52:10,111,79,16,51,0
15:52:11,112,78,37,50,0
15:52:12,113,78,32,50,0
15:52:13,114,78,48,51,0
15:52:14,115,78,40,51,0
15:52:15,116,78,44,50,0
15:52:16,117,78,37,51,0
15:52:17,118,78,44,51,0
15:52:18,119,83,29,51,0
15:52:19,120,83,31,51,0
15:52:20,121,83,30,52,0
15:52:21,122,87,15,51,0
15:52:22,123,87,16,52,0
15:52:23,124,87,15,52,0
15:52:24,125,87,15,52,0
15:52:25,126,87,16,52,0
15:52:26,127,87,15,52,0
15:52:27,128,87,16,52,0
15:52:28,129,87,16,52,0
15:52:29,130,87,15,52,0
15:52:30,131,89,19,52,0
15:52:31,132,89,32,52,0
15:52:32,133,89,38,52,0
15:52:32,134,89,40,52,0
15:52:33,135,89,39,52,0
15:52:34,136,89,48,52,0
15:52:35,137,89,37,52,0
15:52:36,138,91,54,52,0
15:52:37,139,91,23,52,0
15:52:38,140,91,30,52,0
15:52:39,141,88,36,52,0
15:52:40,142,88,33,52,0
15:52:41,143,88,16,51,0
15:52:42,144,89,39,51,0
15:52:43,145,89,24,51,0
15:52:44,146,89,22,52,0
15:52:45,147,87,42,51,0
15:52:46,148,87,39,51,0
15:52:47,149,87,44,52,0
15:52:48,150,85,44,51,0
15:52:49,151,85,32,51,0
15:52:50,152,90,26,52,0
15:52:51,153,90,25,51,0
15:52:52,154,90,24,51,0
15:52:53,155,86,27,52,0
15:52:54,156,86,24,51,0
15:52:55,157,86,25,51,0
15:52:56,158,86,25,51,0
15:52:57,159,86,23,52,0
15:52:58,160,86,21,51,0
15:52:59,161,85,26,52,0
15:53:00,162,85,16,51,0
15:53:01,163,85,19,51,0
15:53:02,164,85,35,52,0
15:53:03,165,84,33,52,0
15:53:04,166,84,18,52,0
15:53:05,167,84,19,52,0
15:53:06,168,84,16,52,0
