Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active
17:55:52,1,76,37,48,0
17:55:53,2,76,51,48,0
17:55:54,3,76,38,48,0
17:55:55,4,78,37,48,0
17:55:56,5,73,37,48,0
17:55:57,6,73,36,48,0
17:55:58,7,90,36,48,0
17:55:59,8,86,37,48,0
17:56:00,9,84,36,48,0
17:56:01,10,84,37,48,0
17:56:02,11,84,37,48,0
17:56:03,12,84,37,48,0
17:56:04,13,84,47,48,0
17:56:05,14,84,44,48,0
17:56:06,15,83,49,48,0
17:56:07,16,83,44,48,0
17:56:08,17,83,57,48,0
17:56:09,18,81,41,48,0
17:56:10,19,81,40,48,0
17:56:11,20,82,58,48,0
17:56:12,21,82,48,48,0
17:56:13,22,82,41,48,0
17:56:14,23,81,38,48,0
17:56:15,24,80,39,48,0
17:56:16,25,80,37,38,0
17:56:17,26,80,38,42,0
17:56:18,27,77,38,37,0
17:56:19,28,77,36,41,0
17:56:20,29,77,38,41,0
17:56:21,30,76,38,41,0
17:56:22,31,76,36,41,0
17:56:23,32,76,36,45,0
17:56:24,33,77,36,45,0
17:56:25,34,77,36,45,0
17:56:26,35,77,36,45,0
17:56:27,36,77,35,45,0
17:56:28,37,77,37,45,0
17:56:29,38,77,35,45,0
17:56:30,39,77,36,45,0
17:56:31,40,77,36,45,0
17:56:32,41,77,36,45,0
17:56:33,42,72,36,45,0
17:56:34,43,72,42,45,0
17:56:35,44,72,39,45,0
17:56:36,45,72,40,45,0
17:56:37,46,72,37,45,0
17:56:38,47,67,42,45,0
17:56:39,48,67,42,45,0
17:56:40,49,67,36,45,0
17:56:41,50,66,36,45,0
17:56:42,51,66,38,45,0
17:56:43,52,66,37,45,0
17:56:44,53,65,37,45,0
17:56:45,54,63,35,45,0
17:56:46,55,63,42,45,0
17:56:47,56,63,39,45,0
17:56:48,57,63,42,45,0
17:56:49,58,63,51,45,0
17:56:50,59,62,49,45,0
17:56:51,60,62,43,45,0
17:56:52,61,62,43,45,0
17:56:53,62,62,47,45,0
17:56:54,63,62,48,45,0
17:56:55,64,62,50,45,0
17:56:56,65,62,53,45,0
17:56:57,66,62,56,45,0
17:56:58,67,62,39,45,0
17:56:59,68,62,37,45,0
17:57:00,69,63,38,45,0
17:57:01,70,63,42,45,0
17:57:02,71,63,48,45,0
17:57:03,72,62,57,45,0
17:57:04,73,62,56,45,0
17:57:05,74,62,54,45,0
