Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
91.0,70.0,96.0,-0.295521196991,-6.22924116758,0.954773697859,2.0,1.0,3.0
93.0,91.0,97.0,0.266305606588,-0.426767622417,1.23108196191,2.0,1.0,3.0
97.0,97.0,100.0,1.48666710616,1.23108196191,2.06000675408,2.0,1.0,3.0
97.0,93.0,100.0,1.23798966852,0.125848905693,2.06000675408,2.0,1.0,3.0
89.0,84.0,99.0,-0.705378455339,-2.36092547081,1.78369849003,2.0,1.0,3.0
93.0,88.0,99.0,0.330777534868,-1.25569241458,1.78369849003,2.0,1.0,3.0
89.0,83.0,95.0,-0.80899405436,-2.63723373486,0.678465433804,2.0,1.0,3.0
90.0,88.0,94.0,-0.562619185578,-1.25569241458,0.402157169749,2.0,1.0,1.0
91.0,88.0,94.0,-0.173485047033,-1.25569241458,0.402157169749,1.0,1.0,1.0
92.0,90.0,96.0,-0.0606591725441,-0.703075886473,0.954773697859,1.0,1.0,1.0
92.0,88.0,95.0,-0.134341376292,-1.25569241458,0.678465433804,1.0,2.0,1.0
91.0,89.0,95.0,-0.39222908941,-0.979384150528,0.678465433804,1.0,2.0,1.0
