Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
62.0,61.0,66.0,-0.127482560733,-0.56365478962,0.751437357778,1.0,1.0,3.0
64.0,59.0,108.0,0.374444275523,-1.08969164858,11.7982113959,1.0,1.0,3.0
61.0,59.0,64.0,-0.436529215372,-1.08969164858,0.225400498818,1.0,1.0,3.0
60.0,57.0,63.0,-0.64475213871,-1.61572850754,-0.0376179306611,1.0,1.0,1.0
61.0,58.0,67.0,-0.500092002496,-1.35271007806,1.01445578726,1.0,1.0,1.0
65.0,59.0,73.0,0.560748996405,-1.08969164858,2.59256636413,2.0,1.0,3.0
62.0,59.0,67.0,-0.0617279533631,-1.08969164858,1.01445578726,2.0,1.0,3.0
63.0,60.0,67.0,0.100466744816,-0.8266732191,1.01445578726,2.0,1.0,2.0
61.0,60.0,64.0,-0.335705484071,-0.8266732191,0.225400498818,2.0,1.0,1.0
61.0,60.0,62.0,-0.554887508638,-0.8266732191,-0.300636360141,2.0,1.0,1.0
65.0,61.0,70.0,0.576091738125,-0.56365478962,1.8035110757,2.0,1.0,1.0
64.0,62.0,69.0,0.400746118472,-0.300636360141,1.54049264622,2.0,1.0,1.0
65.0,60.0,70.0,0.497186209282,-0.8266732191,1.8035110757,2.0,1.0,3.0
64.0,60.0,70.0,0.438007062649,-0.8266732191,1.8035110757,2.0,1.0,3.0
