Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
88.0,86.0,96.0,-1.55790398419,-1.96100824094,-0.444628591732,2.0,1.0,1.0
97.0,78.0,104.0,-0.263926683534,-3.17411196031,0.768475127638,2.0,3.0,1.0
102.0,99.0,105.0,0.572609422949,0.0102853030321,0.92011309256,3.0,3.0,1.0
104.0,101.0,106.0,0.772266076761,0.313561232875,1.07175105748,4.0,3.0,1.0
101.0,96.0,107.0,0.357788972643,-0.444628591732,1.2233890224,3.0,3.0,1.0
102.0,94.0,111.0,0.489208542242,-0.747904521574,1.82994088209,3.0,3.0,1.0
100.0,95.0,110.0,0.265542543983,-0.596266556653,1.67830291717,3.0,3.0,1.0
104.0,101.0,110.0,0.824075714776,0.313561232875,1.67830291717,3.0,3.0,1.0
101.0,97.0,108.0,0.439926203642,-0.29299062681,1.37502698732,3.0,3.0,1.0
96.0,91.0,100.0,-0.320790920379,-1.20281841634,0.161923267953,2.0,3.0,1.0
95.0,88.0,102.0,-0.476219834424,-1.6577323111,0.465199197796,2.0,3.0,1.0
88.0,82.0,96.0,-1.5755950801,-2.56756010063,-0.444628591732,2.0,3.0,1.0
99.0,93.0,107.0,0.0494584439699,-0.899542486495,1.2233890224,2.0,3.0,1.0
96.0,93.0,104.0,-0.296781575933,-0.899542486495,0.768475127638,2.0,3.0,1.0
99.0,94.0,104.0,0.140441222923,-0.747904521574,0.768475127638,2.0,3.0,1.0
103.0,98.0,111.0,0.755838630561,-0.141352661889,1.82994088209,2.0,3.0,1.0
106.0,96.0,113.0,1.19558872883,-0.444628591732,2.13321681193,2.0,3.0,1.0
104.0,102.0,107.0,0.772266076761,0.465199197796,1.2233890224,2.0,3.0,1.0
102.0,97.0,108.0,0.563763874994,-0.29299062681,1.37502698732,2.0,2.0,1.0
99.0,92.0,108.0,0.0734677884146,-1.05118045142,1.37502698732,2.0,2.0,1.0
97.0,90.0,107.0,-0.270244932073,-1.35445638126,1.2233890224,2.0,2.0,1.0
86.0,84.0,93.0,-1.90919860293,-2.26428417079,-0.899542486495,2.0,2.0,1.0
