Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
70.0,69.0,73.0,0.115577247609,-0.0245609646274,0.395853672081,2.0,1.0,3.0
71.0,70.0,74.0,0.27673619168,0.0805426945496,0.500957331258,2.0,1.0,3.0
68.0,68.0,69.0,-0.0946300707451,-0.129664623804,-0.0245609646274,3.0,2.0,3.0
67.0,66.0,68.0,-0.175209542781,-0.339871942158,-0.129664623804,2.0,2.0,3.0
67.0,67.0,68.0,-0.224257917063,-0.234768282981,-0.129664623804,2.0,2.0,3.0
64.0,63.0,67.0,-0.455485967253,-0.655182919689,-0.234768282981,2.0,2.0,3.0
62.0,62.0,63.0,-0.753279668254,-0.760286578866,-0.655182919689,2.0,1.0,3.0
67.0,67.0,68.0,-0.164699176863,-0.234768282981,-0.129664623804,2.0,1.0,2.0
70.0,69.0,71.0,0.0805426945497,-0.0245609646274,0.185646353727,2.0,1.0,2.0
65.0,64.0,67.0,-0.385416861135,-0.550079260512,-0.234768282981,2.0,1.0,2.0
67.0,67.0,68.0,-0.136671534416,-0.234768282981,-0.129664623804,2.0,1.0,1.0
64.0,64.0,66.0,-0.480010154394,-0.550079260512,-0.339871942158,2.0,1.0,1.0
63.0,63.0,65.0,-0.56058962643,-0.655182919689,-0.444975601335,2.0,1.0,1.0
66.0,64.0,68.0,-0.325858120934,-0.550079260512,-0.129664623804,2.0,1.0,1.0
69.0,68.0,70.0,0.0139770437375,-0.129664623804,0.0805426945496,3.0,1.0,2.0
66.0,65.0,69.0,-0.304837389099,-0.444975601335,-0.0245609646274,3.0,1.0,2.0
57.0,57.0,58.0,-1.21573576863,-1.28580487475,-1.18070121557,3.0,1.0,2.0
63.0,61.0,65.0,-0.655182919689,-0.865390238043,-0.444975601335,2.0,1.0,2.0
66.0,66.0,67.0,-0.255789014816,-0.339871942158,-0.234768282981,2.0,1.0,3.0
64.0,63.0,67.0,-0.515044707453,-0.655182919689,-0.234768282981,2.0,1.0,3.0
58.0,57.0,60.0,-1.11063210946,-1.28580487475,-0.97049389722,2.0,1.0,3.0
61.0,60.0,62.0,-0.865390238043,-0.97049389722,-0.760286578866,2.0,1.0,3.0
63.0,61.0,66.0,-0.634162187854,-0.865390238043,-0.339871942158,2.0,1.0,3.0
67.0,66.0,68.0,-0.21024409584,-0.339871942158,-0.129664623804,2.0,1.0,3.0
69.0,68.0,70.0,-0.0105471434037,-0.129664623804,0.0805426945496,2.0,1.0,3.0
68.0,67.0,70.0,-0.063098972992,-0.234768282981,0.0805426945496,2.0,1.0,3.0
62.0,60.0,63.0,-0.760286578866,-0.97049389722,-0.655182919689,2.0,1.0,3.0
58.0,58.0,58.0,-1.18070121557,-1.18070121557,-1.18070121557,2.0,1.0,3.0
58.0,56.0,61.0,-1.14566666251,-1.39090853393,-0.865390238043,2.0,1.0,3.0
60.0,60.0,61.0,-0.924948978243,-0.97049389722,-0.865390238043,2.0,1.0,3.0
59.0,56.0,66.0,-1.04406645865,-1.39090853393,-0.339871942158,2.0,1.0,3.0
66.0,65.0,67.0,-0.311844299711,-0.444975601335,-0.234768282981,2.0,1.0,1.0
65.0,65.0,66.0,-0.437968690723,-0.444975601335,-0.339871942158,2.0,1.0,1.0
66.0,65.0,67.0,-0.273306291346,-0.444975601335,-0.234768282981,2.0,1.0,1.0
73.0,73.0,73.0,0.395853672081,0.395853672081,0.395853672081,2.0,1.0,1.0
71.0,68.0,73.0,0.185646353727,-0.129664623804,0.395853672081,2.0,1.0,1.0
66.0,66.0,67.0,-0.266299380734,-0.339871942158,-0.234768282981,2.0,1.0,1.0
77.0,75.0,81.0,0.882833959602,0.606060990435,1.2366829455,2.0,2.0,1.0
75.0,68.0,81.0,0.609564445741,-0.129664623804,1.2366829455,2.0,2.0,1.0
68.0,68.0,70.0,-0.0385747858509,-0.129664623804,0.0805426945496,2.0,2.0,1.0
72.0,70.0,75.0,0.374832940246,0.0805426945496,0.606060990435,2.0,2.0,2.0
74.0,73.0,75.0,0.564019526764,0.395853672081,0.606060990435,2.0,2.0,2.0
69.0,66.0,73.0,0.010473588432,-0.339871942158,0.395853672081,2.0,1.0,2.0
66.0,61.0,68.0,-0.332865031546,-0.865390238043,-0.129664623804,2.0,1.0,2.0
63.0,61.0,65.0,-0.651679464383,-0.865390238043,-0.444975601335,2.0,1.0,2.0
63.0,63.0,66.0,-0.564093081736,-0.655182919689,-0.339871942158,2.0,1.0,2.0
64.0,62.0,66.0,-0.487017065006,-0.760286578866,-0.339871942158,2.0,1.0,2.0
62.0,61.0,66.0,-0.665693285607,-0.865390238043,-0.339871942158,2.0,1.0,2.0
71.0,66.0,79.0,0.21717745148,-0.339871942158,1.02647562714,2.0,1.0,2.0
76.0,73.0,79.0,0.742695747365,0.395853672081,1.02647562714,2.0,1.0,2.0
72.0,71.0,74.0,0.301260378822,0.185646353727,0.500957331258,2.0,1.0,2.0
73.0,70.0,75.0,0.423881314528,0.0805426945496,0.606060990435,2.0,1.0,2.0
74.0,74.0,76.0,0.557012616152,0.500957331258,0.711164649612,2.0,1.0,2.0
