Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
71.0,69.0,74.0,0.196156719645,-0.0245609646274,0.500957331258,2.0,1.0,3.0
67.0,66.0,69.0,-0.134919806763,-0.339871942158,-0.0245609646274,2.0,2.0,3.0
66.0,63.0,68.0,-0.339871942158,-0.655182919689,-0.129664623804,2.0,2.0,3.0
64.0,62.0,68.0,-0.458989422559,-0.760286578866,-0.129664623804,2.0,1.0,3.0
67.0,64.0,71.0,-0.152437083292,-0.550079260512,0.185646353727,2.0,1.0,2.0
66.0,64.0,68.0,-0.308340844405,-0.550079260512,-0.129664623804,2.0,1.0,1.0
65.0,63.0,68.0,-0.443223873682,-0.655182919689,-0.129664623804,2.0,1.0,1.0
67.0,65.0,70.0,-0.145430172681,-0.444975601335,0.0805426945496,3.0,1.0,2.0
60.0,57.0,65.0,-0.93545934416,-1.28580487475,-0.444975601335,2.0,1.0,2.0
65.0,63.0,67.0,-0.385416861135,-0.655182919689,-0.234768282981,2.0,1.0,3.0
59.0,57.0,62.0,-0.98801117375,-1.28580487475,-0.760286578866,2.0,1.0,3.0
65.0,61.0,68.0,-0.422203141847,-0.865390238043,-0.129664623804,2.0,1.0,3.0
68.0,67.0,70.0,-0.0368230581978,-0.234768282981,0.0805426945496,2.0,1.0,3.0
60.0,58.0,63.0,-0.970493897218,-1.18070121557,-0.655182919689,2.0,1.0,3.0
59.0,56.0,61.0,-1.03530782038,-1.39090853393,-0.865390238043,2.0,1.0,3.0
62.0,56.0,67.0,-0.677955379178,-1.39090853393,-0.234768282981,2.0,1.0,1.0
65.0,65.0,67.0,-0.355637491035,-0.444975601335,-0.234768282981,2.0,1.0,1.0
72.0,68.0,73.0,0.290750012904,-0.129664623804,0.395853672081,2.0,1.0,1.0
72.0,66.0,81.0,0.308267289434,-0.339871942158,1.2366829455,2.0,1.0,1.0
71.0,68.0,81.0,0.285494829945,-0.129664623804,1.2366829455,2.0,2.0,1.0
73.0,70.0,75.0,0.469426233505,0.0805426945496,0.606060990435,2.0,2.0,2.0
67.0,61.0,73.0,-0.161195721557,-0.865390238043,0.395853672081,2.0,1.0,2.0
63.0,61.0,66.0,-0.607886273059,-0.865390238043,-0.339871942158,2.0,1.0,2.0
63.0,61.0,66.0,-0.576355175306,-0.865390238043,-0.339871942158,2.0,1.0,2.0
73.0,66.0,79.0,0.479936599422,-0.339871942158,1.02647562714,2.0,1.0,2.0
72.0,70.0,75.0,0.362570846675,0.0805426945496,0.606060990435,2.0,1.0,2.0
75.0,74.0,79.0,0.662116275329,0.500957331258,1.02647562714,2.0,1.0,2.0
72.0,69.0,110.0,0.32403283831,-0.0245609646274,4.28468906163,2.0,1.0,1.0
91.0,70.0,118.0,2.33676791155,0.0805426945496,5.12551833505,2.0,1.0,1.0
99.0,76.0,110.0,3.14781781486,0.711164649612,4.28468906163,2.0,1.0,1.0
71.0,64.0,110.0,0.257467187498,-0.550079260512,4.28468906163,2.0,1.0,1.0
72.0,65.0,76.0,0.318777655351,-0.444975601335,0.711164649612,2.0,1.0,1.0
73.0,69.0,77.0,0.409867493305,-0.0245609646274,0.816268308789,2.0,1.0,1.0
65.0,61.0,70.0,-0.350382308076,-0.865390238043,0.0805426945496,2.0,2.0,1.0
70.0,67.0,75.0,0.115577247609,-0.234768282981,0.606060990435,2.0,2.0,1.0
66.0,62.0,69.0,-0.318851210323,-0.760286578866,-0.0245609646274,2.0,2.0,1.0
