Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
69.0,66.0,74.0,-0.02035681826,-0.339871942158,0.500957331258,2.0,2.0,3.0
66.0,62.0,71.0,-0.335667795791,-0.760286578866,0.185646353727,2.0,1.0,2.0
66.0,63.0,70.0,-0.297830478487,-0.655182919689,0.0805426945496,2.0,1.0,1.0
63.0,57.0,69.0,-0.589317959938,-1.28580487475,-0.0245609646274,2.0,1.0,2.0
63.0,57.0,70.0,-0.566195154919,-1.28580487475,0.0805426945496,2.0,1.0,3.0
61.0,56.0,70.0,-0.814940481637,-1.39090853393,0.0805426945496,2.0,1.0,3.0
66.0,56.0,73.0,-0.334266413669,-1.39090853393,0.395853672081,2.0,1.0,1.0
71.0,66.0,81.0,0.274634118497,-0.339871942158,1.2366829455,2.0,2.0,1.0
69.0,61.0,75.0,-0.00704368809751,-0.865390238043,0.606060990435,2.0,1.0,2.0
67.0,61.0,79.0,-0.151386046701,-0.865390238043,1.02647562714,2.0,1.0,2.0
73.0,69.0,79.0,0.416173712855,-0.0245609646274,1.02647562714,2.0,1.0,2.0
91.0,69.0,118.0,2.31714856184,-0.0245609646274,5.12551833505,2.0,1.0,1.0
72.0,64.0,110.0,0.37132948494,-0.550079260512,4.28468906163,2.0,1.0,1.0
68.0,61.0,75.0,-0.070806574665,-0.865390238043,0.606060990435,2.0,2.0,1.0
