Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
65.0,62.0,69.0,-0.732795952419,-1.56556645134,0.155711154701,1.0,1.0,2.0
65.0,64.0,68.0,-0.613126175999,-1.07377284962,-0.0901856461619,1.0,1.0,3.0
68.0,65.0,73.0,0.0245661942413,-0.827876048752,1.13929835816,3.0,1.0,3.0
75.0,70.0,91.0,1.81961284055,0.401607955565,5.5654407737,3.0,1.0,3.0
66.0,62.0,70.0,-0.483620527544,-1.56556645134,0.401607955565,2.0,1.0,2.0
67.0,65.0,70.0,-0.214773358599,-0.827876048752,0.401607955565,2.0,1.0,1.0
67.0,63.0,71.0,-0.231166478657,-1.31966965048,0.647504756428,2.0,1.0,1.0
65.0,62.0,67.0,-0.795089808637,-1.56556645134,-0.336082447025,2.0,1.0,1.0
70.0,66.0,78.0,0.637668884394,-0.581979247889,2.36878236247,2.0,1.0,1.0
71.0,68.0,81.0,0.729470356716,-0.0901856461619,3.10647276506,2.0,1.0,1.0
72.0,64.0,85.0,0.896680181303,-1.07377284962,4.09005996852,2.0,1.0,1.0
66.0,63.0,72.0,-0.560668191815,-1.31966965048,0.893401557292,2.0,1.0,1.0
66.0,63.0,72.0,-0.452473599435,-1.31966965048,0.893401557292,2.0,1.0,1.0
67.0,65.0,72.0,-0.154118814386,-0.827876048752,0.893401557292,2.0,1.0,1.0
67.0,64.0,71.0,-0.154118814387,-1.07377284962,0.647504756428,2.0,2.0,1.0
69.0,66.0,77.0,0.316363731266,-0.581979247889,2.12288556161,2.0,2.0,1.0
