Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
88.0,78.0,101.0,-1.58191332864,-3.17411196031,0.313561232875,2.0,3.0,1.0
101.0,94.0,105.0,0.389380215335,-0.747904521574,0.92011309256,2.0,3.0,1.0
103.0,101.0,106.0,0.698721663774,0.313561232875,1.07175105748,4.0,3.0,1.0
101.0,96.0,107.0,0.39847849323,-0.444628591732,1.2233890224,3.0,3.0,1.0
102.0,94.0,111.0,0.536974501192,-0.747904521574,1.82994088209,3.0,3.0,1.0
102.0,95.0,110.0,0.493504951247,-0.596266556653,1.67830291717,3.0,3.0,1.0
101.0,97.0,108.0,0.461155518731,-0.29299062681,1.37502698732,3.0,3.0,1.0
98.0,91.0,104.0,-0.13326530376,-1.20281841634,0.768475127638,2.0,3.0,1.0
93.0,82.0,102.0,-0.783286713389,-2.56756010063,0.465199197796,2.0,3.0,1.0
93.0,82.0,107.0,-0.777221194792,-2.56756010063,1.2233890224,2.0,3.0,1.0
96.0,93.0,101.0,-0.394082603424,-0.899542486495,0.313561232875,2.0,3.0,1.0
100.0,94.0,104.0,0.227633052752,-0.747904521574,0.768475127638,2.0,3.0,1.0
104.0,98.0,113.0,0.905960215834,-0.141352661889,2.13321681193,2.0,3.0,1.0
105.0,96.0,113.0,0.932244129753,-0.444628591732,2.13321681193,2.0,3.0,1.0
102.0,97.0,107.0,0.544050939555,-0.29299062681,1.2233890224,2.0,2.0,1.0
100.0,92.0,108.0,0.30648479451,-1.05118045142,1.37502698732,2.0,2.0,1.0
94.0,84.0,107.0,-0.627605069404,-2.26428417079,1.2233890224,2.0,2.0,1.0
