Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
70.0,67.0,72.0,0.0533163403333,-0.616282705,0.388115863,2.0,1.0,3.0
65.0,65.0,67.0,-0.843946380867,-1.018042133,-0.616282705,2.0,1.0,3.0
62.0,62.0,64.0,-1.43319354107,-1.620681274,-1.218921847,2.0,1.0,3.0
63.0,63.0,63.0,-1.41980156,-1.41980156,-1.41980156,3.0,1.0,3.0
63.0,63.0,63.0,-1.41980156,-1.41980156,-1.41980156,3.0,1.0,3.0
62.0,62.0,63.0,-1.5805053312,-1.620681274,-1.41980156,3.0,1.0,3.0
62.0,62.0,64.0,-1.446585522,-1.620681274,-1.218921847,2.0,1.0,3.0
64.0,64.0,64.0,-1.218921847,-1.218921847,-1.218921847,2.0,1.0,3.0
60.0,60.0,61.0,-1.84834494973,-2.022440701,-1.821560988,2.0,1.0,3.0
63.0,61.0,64.0,-1.41980156067,-1.821560988,-1.218921847,2.0,1.0,3.0
63.0,63.0,64.0,-1.32605769393,-1.41980156,-1.218921847,2.0,1.0,3.0
64.0,64.0,64.0,-1.218921847,-1.218921847,-1.218921847,2.0,1.0,3.0
66.0,64.0,68.0,-0.683242610333,-1.218921847,-0.415402992,2.0,1.0,2.0
63.0,63.0,64.0,-1.35284165567,-1.41980156,-1.218921847,2.0,1.0,2.0
64.0,64.0,65.0,-1.15196194233,-1.218921847,-1.018042133,2.0,1.0,2.0
65.0,65.0,67.0,-0.8573383618,-1.018042133,-0.616282705,2.0,1.0,2.0
66.0,66.0,67.0,-0.723418552467,-0.817162419,-0.616282705,3.0,1.0,2.0
66.0,66.0,67.0,-0.683242609667,-0.817162419,-0.616282705,3.0,1.0,2.0
68.0,68.0,69.0,-0.268091201733,-0.415402992,-0.214523278,3.0,1.0,2.0
68.0,68.0,69.0,-0.402011011067,-0.415402992,-0.214523278,3.0,1.0,2.0
66.0,66.0,67.0,-0.683242609667,-0.817162419,-0.616282705,3.0,1.0,2.0
66.0,66.0,66.0,-0.817162419,-0.817162419,-0.817162419,3.0,1.0,2.0
67.0,67.0,68.0,-0.549322800667,-0.616282705,-0.415402992,3.0,1.0,2.0
69.0,68.0,70.0,-0.147563373333,-0.415402992,-0.013643564,2.0,1.0,2.0
66.0,66.0,67.0,-0.629674685933,-0.817162419,-0.616282705,2.0,1.0,1.0
66.0,66.0,66.0,-0.817162419,-0.817162419,-0.817162419,3.0,1.0,1.0
66.0,66.0,66.0,-0.817162419,-0.817162419,-0.817162419,2.0,1.0,1.0
63.0,62.0,66.0,-1.35284165567,-1.620681274,-0.817162419,2.0,1.0,1.0
63.0,63.0,64.0,-1.28588175133,-1.41980156,-1.218921847,2.0,1.0,1.0
66.0,63.0,68.0,-0.750202514667,-1.41980156,-0.415402992,2.0,1.0,1.0
68.0,67.0,69.0,-0.348443087,-0.616282705,-0.214523278,2.0,1.0,1.0
66.0,66.0,67.0,-0.750202514333,-0.817162419,-0.616282705,2.0,1.0,1.0
67.0,67.0,68.0,-0.549322800667,-0.616282705,-0.415402992,2.0,1.0,1.0
