Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
70.0,70.0,70.0,-6.22924116758,-6.22924116758,-6.22924116758,2.0,1.0,3.0
70.0,70.0,70.0,-6.22924116758,-6.22924116758,-6.22924116758,1.0,1.0,3.0
70.0,70.0,70.0,-6.22924116758,-6.22924116758,-6.22924116758,2.0,1.0,3.0
92.0,92.0,92.0,-0.150459358362,-0.150459358362,-0.150459358362,3.0,1.0,3.0
92.0,92.0,92.0,-0.150459358362,-0.150459358362,-0.150459358362,4.0,1.0,3.0
92.0,92.0,92.0,-0.150459358362,-0.150459358362,-0.150459358362,3.0,1.0,3.0
92.0,92.0,92.0,-0.150459358362,-0.150459358362,-0.150459358362,2.0,1.0,3.0
92.0,92.0,92.0,-0.150459358362,-0.150459358362,-0.150459358362,1.0,1.0,3.0
92.0,92.0,92.0,-0.150459358362,-0.150459358362,-0.150459358362,1.0,1.0,3.0
92.0,92.0,92.0,-0.150459358362,-0.150459358362,-0.150459358362,2.0,1.0,3.0
92.0,92.0,92.0,-0.150459358362,-0.150459358362,-0.150459358362,3.0,1.0,3.0
93.0,93.0,93.0,0.125848905693,0.125848905693,0.125848905693,3.0,1.0,3.0
93.0,93.0,93.0,0.125848905693,0.125848905693,0.125848905693,4.0,1.0,3.0
94.0,94.0,94.0,0.402157169749,0.402157169749,0.402157169749,1.0,1.0,3.0
94.0,94.0,94.0,0.402157169749,0.402157169749,0.402157169749,2.0,1.0,3.0
94.0,94.0,94.0,0.402157169749,0.402157169749,0.402157169749,2.0,1.0,3.0
94.0,94.0,94.0,0.402157169749,0.402157169749,0.402157169749,2.0,1.0,3.0
94.0,94.0,94.0,0.402157169749,0.402157169749,0.402157169749,2.0,1.0,3.0
94.0,94.0,94.0,0.402157169749,0.402157169749,0.402157169749,2.0,1.0,3.0
94.0,94.0,94.0,0.402157169749,0.402157169749,0.402157169749,2.0,1.0,3.0
94.0,94.0,94.0,0.402157169749,0.402157169749,0.402157169749,3.0,1.0,3.0
94.0,94.0,94.0,0.402157169749,0.402157169749,0.402157169749,2.0,1.0,3.0
94.0,94.0,94.0,0.402157169749,0.402157169749,0.402157169749,2.0,1.0,3.0
