LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (C),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.1277,-0.0265,0.0474,12.45,5,1008.86,28.9,41.161,32,23:08:40:662
-9.00E-04,0.0264,-0.0509,12.45,5,1008.84,29,40.393,1032,23:08:41:662
0.0081,0.0145,0.004,12.45,5,1008.59,29,40.517,2032,23:08:42:662
-0.0087,0.0193,-0.0732,12.45,5,1008.42,29.1,43.481,3032,23:08:43:662
-8.00E-04,0.0289,-0.0399,12.45,5,1008.29,29.1,36.482,4032,23:08:44:662
-0.0277,-0.0064,-0.003,12.45,5,1008.17,29.1,38.46,5032,23:08:45:662
-0.0109,0.0476,-0.0071,12.45,5,1008.05,29.1,40.871,6032,23:08:46:662
0.0184,-0.0087,0.0078,12.45,5,1007.97,29.2,36.342,7032,23:08:47:662
0.004,-0.0271,0.0759,12.45,5,1007.92,29.2,48.296,8032,23:08:48:662
-0.0338,-0.0049,-0.0182,12.45,5,1007.83,29.2,44.911,9032,23:08:49:662
-0.0438,-0.0873,-0.0599,12.45,5,1007.86,29.2,39.688,10032,23:08:50:662
0.0145,0.0104,-0.0291,12.45,5,1007.86,29.2,51.287,11032,23:08:51:662
0.0105,-0.005,0.0424,12.45,5,1007.81,29.2,49.939,12032,23:08:52:662
0.0194,0.0327,-0.0694,12.45,5,1007.74,29.2,40.725,13032,23:08:53:662
0.0378,0.0044,-0.0033,12.45,5,1007.7,29.2,35.863,14032,23:08:54:662
-0.0282,-0.0295,-0.1163,12.45,5,1007.71,29.2,41.962,15032,23:08:55:662
-0.0299,-0.017,-0.0515,12.45,5,1007.68,29.2,42.715,16032,23:08:56:662
0.0278,0.0178,-0.0048,12.45,5,1007.7,29.2,42.569,17033,23:08:57:663
-0.0578,-0.0131,0.0358,12.45,5,1007.72,29.2,46.882,18032,23:08:58:662
0.0182,-0.0042,0.0203,12.45,5,1007.73,29.2,47.137,19032,23:08:59:662
-0.0124,0.066,0.0944,12.45,5,1007.84,29.2,48.488,20032,23:09:00:662
-0.0366,-8.00E-04,-0.013,12.45,5,1007.84,29.2,56.447,21033,23:09:01:663
-0.0083,-0.0015,-0.0143,12.45,5,1008.18,29.2,42.121,22032,23:09:02:662
-0.0114,0.0493,-0.0057,12.45,5,1008.34,29.3,41.259,23032,23:09:03:662
0.2334,0.0156,-0.0985,12.45,5,1008.53,29.3,53.799,24032,23:09:04:662
0.0095,-0.0555,0.0221,12.45,5,1008.49,29.4,41.988,25032,23:09:05:662
0.0298,-0.0315,-0.0442,12.45,5,1008.25,29.4,50.564,26033,23:09:06:663
-0.0195,-0.0283,-0.0096,12.45,5,1007.95,29.5,43.935,27032,23:09:07:662
0.0073,-0.0055,0.0605,12.45,5,1007.79,29.4,51.485,28032,23:09:08:662
-0.0466,0.025,-0.009,12.45,5,1007.68,29.4,52.804,29032,23:09:09:662
-0.0436,0.0015,0.0338,12.45,5,1007.62,29.4,38.397,30032,23:09:10:662
-0.0018,-0.0223,-0.0097,12.45,5,1007.56,29.4,40.975,31032,23:09:11:662
-0.0145,-0.0014,-0.0112,12.45,5,1007.46,29.4,52.322,32033,23:09:12:663
0.031,-0.0482,0.0453,12.45,5,1007.4,29.4,53.208,33032,23:09:13:662
-0.0433,0.0485,-0.0194,12.45,5,1007.41,29.4,41.945,34032,23:09:14:662
0.0351,0.066,-0.0233,12.45,5,1007.41,29.3,57.623,35032,23:09:15:662
-0.002,-0.0166,0.0151,12.45,5,1007.44,29.3,53.814,36032,23:09:16:662
-0.0055,-0.0622,-0.0726,12.45,5,1007.41,29.3,39.215,37032,23:09:17:662
0.0012,-0.0271,0.0357,12.45,5,1007.39,29.3,48.288,38033,23:09:18:663
0.0035,-0.027,-0.0382,12.45,5,1007.46,29.3,50.114,39032,23:09:19:662
0.0138,0.0117,0.0445,12.45,5,1007.55,29.2,50.257,40032,23:09:20:662
0.0255,0.0825,-0.014,12.45,5,1007.6,29.2,39.429,41033,23:09:21:663
-0.0094,0.0228,-0.02,12.45,5,1007.57,29.2,42.091,42032,23:09:22:662
0.0422,-0.0341,-0.0266,12.45,5,1007.55,29.2,47.074,43032,23:09:23:662
-0.0232,0.0023,-0.0465,12.45,5,1007.58,29.2,51.612,44032,23:09:24:662
-0.0272,0.0107,0.0178,12.45,5,1007.61,29.2,53.641,45032,23:09:25:662
0.0054,-0.0125,-2.00E-04,12.45,5,1007.62,29.2,46.286,46032,23:09:26:662
0.0244,-0.0784,-0.0689,12.45,5,1007.56,29.2,52.011,47032,23:09:27:662
-0.0095,0.0648,-0.0285,12.45,5,1007.49,29.2,52.067,48032,23:09:28:662
-0.0477,-0.0201,-0.0248,12.45,5,1007.45,29.2,49.726,49033,23:09:29:663
0.0023,0.0692,-0.0069,12.45,5,1007.46,29.1,58.521,50033,23:09:30:663
-0.0082,-0.0319,-0.0079,12.45,5,1007.46,29.1,52.032,51032,23:09:31:662
-0.1079,0.0559,0.0141,12.45,5,1007.45,29.1,49.833,52032,23:09:32:662
-0.0387,-0.0187,0.01,12.45,5,1007.71,29.1,52.685,53032,23:09:33:662
0.0709,-0.013,-0.0342,12.45,5,1008.05,29.1,50.915,54032,23:09:34:662
-0.0353,-0.0077,0.0327,12.45,5,1008.01,29.2,50.97,55032,23:09:35:662
0.0244,0.0283,-0.0192,12.45,5,1007.91,29.2,48.087,56033,23:09:36:663
-0.0388,0.0232,-0.01,12.45,5,1007.83,29.2,50.719,57032,23:09:37:662
-0.023,0.0325,0.0472,12.45,5,1007.81,29.2,56.302,58032,23:09:38:662
-0.0171,-1.00E-04,0.032,12.45,5,1007.8,29.2,54.36,59033,23:09:39:663
-0.0391,-0.023,-0.007,12.45,5,1007.79,29.2,50.932,60032,23:09:40:662
0.0255,-0.0385,-0.0505,12.45,5,1007.74,29.2,49.057,61032,23:09:41:662
0.0411,0.0395,-0.0138,12.45,5,1007.69,29.2,49.291,62032,23:09:42:662
-0.0274,0.0206,-0.0063,12.45,5,1007.68,29.2,48.362,63033,23:09:43:663
0.0306,-0.0133,-0.0162,36.79,5,1007.62,29.2,53.134,64032,23:09:44:662
-0.0313,-0.0238,0.0575,79.8,5,1007.63,29.2,50.204,65032,23:09:45:662
0.08,0.0058,-0.0965,79.8,5,1007.68,29.2,50.261,66032,23:09:46:662
0.0402,0.0056,-0.0322,79.8,5,1007.82,29.2,46.012,67033,23:09:47:663
0.0285,0.039,0.0203,79.8,5,1008.33,29.2,50.445,68032,23:09:48:662
0.082,-0.0136,0.0051,79.8,5,1008.67,29.3,49.039,69032,23:09:49:662
-0.0148,-0.0065,-0.0138,79.8,5,1008.79,29.4,47.897,70032,23:09:50:662
0.0045,-0.0467,0.0778,79.8,5,1008.5,29.5,46.526,71033,23:09:51:663
-0.0201,-0.0169,0.0109,79.8,5,1008.15,29.5,49.846,72032,23:09:52:662
-0.0173,0.0038,-0.0298,79.8,5,1007.94,29.5,48.777,73032,23:09:53:662
0.0294,-0.0563,0.019,79.8,5,1007.73,29.5,48.782,74032,23:09:54:662
-0.0023,0.0282,0.0469,79.8,5,1007.54,29.5,47.483,75032,23:09:55:662
-0.0113,0.008,0.017,79.8,5,1007.46,29.5,45.861,76032,23:09:56:662
0.0093,-0.0308,-0.075,79.8,5,1007.42,29.5,48.56,77033,23:09:57:663
0.0369,-9.00E-04,-0.0523,79.8,5,1007.42,29.4,50.943,78033,23:09:58:663
0.0028,0.007,0.0737,79.8,5,1007.48,29.4,49.241,79032,23:09:59:662
-0.0182,-0.0073,-0.0034,79.8,5,1007.49,29.4,49.294,80032,23:10:00:662
-0.0122,-0.0394,-0.0075,79.8,5,1007.5,29.4,50.269,81032,23:10:01:662
0.0031,0.0064,-0.0507,79.8,5,1007.48,29.4,49.269,82032,23:10:02:662
-0.0299,-0.0208,0.0549,79.8,5,1007.39,29.4,48.965,83033,23:10:03:663
0.018,0.0013,0.0384,84.61,5,1007.39,29.4,52.119,84032,23:10:04:662
-0.0073,0.0124,0.0018,84.61,5,1007.78,29.3,51.895,85033,23:10:05:663
-0.0115,0.0374,-0.0589,84.61,5,1007.67,29.3,48.348,86032,23:10:06:662
-0.0085,-0.0242,0.0776,84.61,5,1007.51,29.3,49.39,87033,23:10:07:663
-0.0491,8.00E-04,-0.035,84.61,5,1007.35,29.3,48.08,88032,23:10:08:662
-0.0145,0.0194,-0.0767,84.61,5,1007.27,29.3,42.594,89033,23:10:09:663
-0.0346,-0.0411,-0.0095,84.61,5,1007.23,29.2,36.257,90032,23:10:10:662
0.0029,0.0054,0.03,84.61,5,1007.17,29.2,35.113,91033,23:10:11:663
-0.0125,0.0127,-0.0539,84.61,5,1007.16,29.2,39.392,92032,23:10:12:662
0.065,0.0293,0.0469,84.61,5,1007.13,29.1,37.94,93032,23:10:13:662
0.0018,0.0105,0.0524,84.61,5,1007.13,29.1,40.811,94033,23:10:14:663
-0.0392,-0.0091,0.0285,84.61,5,1007.15,29.1,33.902,95032,23:10:15:662
0.0204,0.0532,0.0515,84.61,5,1007.2,29,34.849,96032,23:10:16:662
0.0032,0.0235,0.0405,84.61,5,1007.19,29,43.461,97032,23:10:17:662
-0.0513,0.0013,-0.0115,84.61,5,1007.2,29,33.81,98032,23:10:18:662
-0.033,-0.0083,-0.085,84.61,5,1007.22,28.9,32.771,99032,23:10:19:662
-0.0271,-0.0553,-0.0326,84.61,5,1007.22,28.9,36.854,100033,23:10:20:663
0.0112,-0.0378,0.0023,84.61,5,1007.23,28.9,36.725,101032,23:10:21:662
0.0497,0.0379,0.0355,84.61,5,1007.26,28.9,36.415,102033,23:10:22:663
-0.0033,0.0192,0.0324,84.61,5,1007.3,28.8,36.822,103032,23:10:23:662
0.0306,-0.0227,-0.0057,84.61,5,1007.32,28.8,44.353,104032,23:10:24:662
-0.0184,0.0768,0.0339,84.61,5,1007.35,28.8,40.733,105032,23:10:25:662
0.021,0.0448,0.0945,84.61,5,1007.34,28.7,45.899,106032,23:10:26:662
-0.0223,-0.0475,-0.0217,84.61,5,1007.35,28.7,52.517,107032,23:10:27:662
0.0024,0.0259,0.026,84.61,5,1007.37,28.7,47.61,108032,23:10:28:662
0.0168,0.0338,0.0467,84.61,5,1007.4,28.7,42.692,109033,23:10:29:663
0.0427,-0.0206,-0.104,84.61,5,1007.37,28.7,44.575,110032,23:10:30:662
-0.0187,-0.004,0.0483,84.61,5,1007.43,28.7,47.991,111033,23:10:31:663
0.0029,-0.0841,-0.0276,84.61,5,1007.42,28.6,49.901,112032,23:10:32:662
-0.0065,-0.0432,0.0033,84.61,5,1007.43,28.6,50.865,113032,23:10:33:662
0.0129,-0.0179,-0.0476,84.61,5,1007.43,28.6,52.47,114032,23:10:34:662
-0.0223,0.0065,-0.0737,84.61,5,1007.44,28.6,47.679,115033,23:10:35:663
-0.0105,-0.0177,-0.0292,84.61,5,1007.51,28.6,38.803,116032,23:10:36:662
-9.00E-04,-0.0429,-0.0079,84.61,5,1007.54,28.6,38.497,117033,23:10:37:663
-0.0414,0.0385,5.00E-04,84.61,5,1007.57,28.6,39.542,118033,23:10:38:663
0.0395,0.0079,-0.0013,84.61,5,1007.59,28.5,42.474,119032,23:10:39:662
-1.00E-04,-0.0213,-0.0204,84.61,5,1007.6,28.5,49.264,120032,23:10:40:662
-0.0061,-0.0254,0.1049,84.61,5,1007.66,28.5,50.831,121032,23:10:41:662
-0.0021,-0.0262,-0.0466,84.61,5,1007.64,28.5,50.556,122033,23:10:42:663
-0.0038,0.0118,0.059,84.61,5,1007.62,28.5,51.311,123032,23:10:43:662
-0.0383,0.025,0.0035,84.61,5,1007.61,28.5,51.106,124033,23:10:44:663
-0.0232,-0.0351,-0.0131,84.61,5,1007.58,28.5,49.28,125032,23:10:45:662
0.0348,0.022,0.0111,84.61,5,1007.58,28.5,49.276,126032,23:10:46:662
0.0234,0.037,0.0701,84.61,5,1007.57,28.5,49.938,127032,23:10:47:662
-0.0226,-0.0455,0.0027,84.61,5,1007.52,28.5,50.633,128032,23:10:48:662
0.0061,-0.0222,-0.0043,84.61,5,1007.54,28.5,49.014,129033,23:10:49:663
-6.00E-04,-0.0098,0.045,84.61,5,1007.53,28.4,49.916,130032,23:10:50:662
0.0074,-0.0533,-0.0215,84.61,5,1007.53,28.4,50.829,131032,23:10:51:662
0.0216,3.00E-04,-0.0039,84.61,5,1007.53,28.4,48.528,132032,23:10:52:662
-0.0528,-0.0039,0.0084,84.61,5,1007.53,28.4,53.083,133033,23:10:53:663
-0.0135,-0.001,0.0382,84.61,5,1007.56,28.4,54.198,134032,23:10:54:662
-0.0442,0.0075,0.0811,84.61,5,1007.54,28.4,49.948,135032,23:10:55:662
-0.0688,-0.033,-0.0713,84.61,5,1007.55,28.4,52.73,136032,23:10:56:662
