HEART RATE DATE/TIME,VALUE,,,,,,,,,
  3:16:05 AM,70,,,,,,,,,
  3:16:20 AM,70,,,,,,,,,
  3:16:35 AM,70,,,,,,,,,
  3:16:50 AM,70,,,,,,,,,
  12:11:10 PM,70,,,,,,,,,
  12:11:25 PM,70,,,,,,,,,
  12:13:40 PM,70,,,,,,,,,
  12:13:55 PM,70,,,,,,,,,
  12:16:40 PM,70,,,,,,,,,
  12:16:55 PM,70,,,,,,,,,
  12:53:00 PM,78,,,,,,,,,
  12:53:05 PM,80,,,,,,,,,
  12:53:20 PM,80,,,,,,,,,
  12:53:25 PM,77,,,,,,,,,
  12:54:00 PM,86,,,,,,,,,
  12:54:10 PM,85,,,,,,,,,
  12:54:15 PM,86,,,,,,,,,
  12:54:25 PM,85,,,,,,,,,
  12:54:30 PM,84,,,,,,,,,
  12:54:35 PM,83,,,,,,,,,
  12:54:40 PM,84,,,,,,,,,
  12:54:45 PM,86,,,,,,,,,
  12:54:50 PM,90,,,,,,,,,
  12:54:55 PM,93,,,,,,,,,
  12:55:05 PM,91,,,,,,,,,
  12:55:20 PM,91,,,,,,,,,
  12:55:25 PM,92,,,,,,,,,
  12:55:30 PM,92,,,,,,,,,
  12:55:35 PM,91,,,,,,,,,
  12:55:40 PM,90,,,,,,,,,
  12:55:55 PM,90,,,,,,,,,
  12:56:10 PM,90,,,,,,,,,
  12:56:20 PM,89,,,,,,,,,
  12:56:35 PM,90,,,,,,,,,
  12:56:50 PM,90,,,,,,,,,
  12:56:55 PM,89,,,,,,,,,
  12:57:10 PM,90,,,,,,,,,
  12:57:20 PM,91,,,,,,,,,
  12:57:25 PM,92,,,,,,,,,
  12:57:30 PM,95,,,,,,,,,
  12:57:40 PM,96,,,,,,,,,
  12:57:55 PM,96,,,,,,,,,
  12:58:10 PM,97,,,,,,,,,
  12:58:20 PM,96,,,,,,,,,
  12:58:35 PM,96,,,,,,,,,
  12:58:40 PM,97,,,,,,,,,
  12:58:50 PM,98,,,,,,,,,
  12:59:00 PM,97,,,,,,,,,
  12:59:05 PM,98,,,,,,,,,
  12:59:20 PM,91,,,,,,,,,
  12:59:35 PM,91,,,,,,,,,
  12:59:40 PM,88,,,,,,,,,
  12:59:45 PM,91,,,,,,,,,
  12:59:55 PM,90,,,,,,,,,
  1:00:00 PM,89,,,,,,,,,
  1:00:10 PM,88,,,,,,,,,
  1:00:25 PM,88,,,,,,,,,
  1:00:40 PM,84,,,,,,,,,
  1:00:50 PM,85,,,,,,,,,
  1:01:05 PM,85,,,,,,,,,
  1:01:10 PM,84,,,,,,,,,
  1:01:20 PM,83,,,,,,,,,
  1:01:30 PM,84,,,,,,,,,
  1:01:40 PM,88,,,,,,,,,
  1:01:50 PM,85,,,,,,,,,
  1:02:00 PM,84,,,,,,,,,
  1:02:10 PM,86,,,,,,,,,
  1:02:20 PM,90,,,,,,,,,
  1:02:30 PM,88,,,,,,,,,
  1:02:40 PM,89,,,,,,,,,
  1:02:45 PM,88,,,,,,,,,
  1:02:50 PM,87,,,,,,,,,
  1:03:05 PM,87,,,,,,,,,
  1:03:10 PM,87,,,,,,,,,
  1:03:20 PM,88,,,,,,,,,
  1:03:30 PM,85,,,,,,,,,
  1:03:40 PM,81,,,,,,,,,
  1:03:50 PM,79,,,,,,,,,
  1:03:55 PM,79,,,,,,,,,
  1:04:00 PM,80,,,,,,,,,
  1:04:15 PM,80,,,,,,,,,
  1:04:20 PM,80,,,,,,,,,
  1:04:35 PM,80,,,,,,,,,
  1:04:50 PM,81,,,,,,,,,
  1:04:55 PM,83,,,,,,,,,
  1:05:00 PM,82,,,,,,,,,
  1:05:10 PM,81,,,,,,,,,
  1:05:15 PM,80,,,,,,,,,
  1:05:30 PM,83,,,,,,,,,
  1:05:40 PM,86,,,,,,,,,
  1:05:50 PM,86,,,,,,,,,
  1:06:05 PM,86,,,,,,,,,
  1:06:10 PM,85,,,,,,,,,
  1:06:20 PM,82,,,,,,,,,
  1:06:30 PM,82,,,,,,,,,
  1:06:40 PM,82,,,,,,,,,
  1:06:50 PM,81,,,,,,,,,
  1:07:00 PM,81,,,,,,,,,
  1:07:10 PM,82,,,,,,,,,
  1:07:25 PM,82,,,,,,,,,
  1:07:30 PM,82,,,,,,,,,
  1:07:45 PM,82,,,,,,,,,
  1:08:00 PM,82,,,,,,,,,
  1:08:15 PM,82,,,,,,,,,
  1:08:30 PM,82,,,,,,,,,
  1:08:40 PM,82,,,,,,,,,
  1:08:55 PM,82,,,,,,,,,
  1:09:00 PM,81,,,,,,,,,
  1:09:10 PM,78,,,,,,,,,
  1:09:20 PM,79,,,,,,,,,
  1:09:25 PM,78,,,,,,,,,
  1:09:30 PM,78,,,,,,,,,
  1:09:45 PM,78,,,,,,,,,
  1:10:00 PM,78,,,,,,,,,
  1:10:15 PM,78,,,,,,,,,
  1:10:30 PM,78,,,,,,,,,
  1:10:45 PM,78,,,,,,,,,
  1:10:50 PM,79,,,,,,,,,
  1:11:00 PM,83,,,,,,,,,
  1:11:05 PM,87,,,,,,,,,
  1:11:10 PM,86,,,,,,,,,
  1:11:20 PM,87,,,,,,,,,
  1:11:25 PM,86,,,,,,,,,
  1:11:40 PM,86,,,,,,,,,
  1:11:50 PM,86,,,,,,,,,
  1:12:00 PM,85,,,,,,,,,
  1:12:05 PM,84,,,,,,,,,
  1:12:20 PM,85,,,,,,,,,
  1:12:30 PM,87,,,,,,,,,
  1:12:40 PM,90,,,,,,,,,
  1:12:50 PM,89,,,,,,,,,
  1:12:55 PM,88,,,,,,,,,
  1:13:10 PM,88,,,,,,,,,
  1:13:15 PM,89,,,,,,,,,
  1:13:30 PM,89,,,,,,,,,
  1:13:35 PM,89,,,,,,,,,
  1:13:40 PM,89,,,,,,,,,
  1:13:45 PM,91,,,,,,,,,
  1:14:00 PM,90,,,,,,,,,
  1:14:05 PM,89,,,,,,,,,
  1:14:15 PM,88,,,,,,,,,
  1:14:30 PM,88,,,,,,,,,
  1:14:45 PM,88,,,,,,,,,
  1:14:50 PM,89,,,,,,,,,
  1:15:00 PM,87,,,,,,,,,
  1:15:10 PM,88,,,,,,,,,
  1:15:15 PM,87,,,,,,,,,
  1:15:30 PM,89,,,,,,,,,
  1:15:40 PM,85,,,,,,,,,
  1:15:55 PM,85,,,,,,,,,
  1:16:00 PM,85,,,,,,,,,
  1:16:10 PM,90,,,,,,,,,
  1:16:20 PM,85,,,,,,,,,
  1:16:35 PM,85,,,,,,,,,
  1:16:40 PM,86,,,,,,,,,
  1:16:50 PM,87,,,,,,,,,
  1:17:05 PM,87,,,,,,,,,
  1:17:10 PM,86,,,,,,,,,
  1:17:20 PM,91,,,,,,,,,
  1:17:30 PM,90,,,,,,,,,
  1:17:40 PM,85,,,,,,,,,
  1:17:55 PM,85,,,,,,,,,
  1:18:00 PM,85,,,,,,,,,
  1:18:10 PM,84,,,,,,,,,
  1:18:25 PM,84,,,,,,,,,
  1:18:30 PM,84,,,,,,,,,
  1:18:40 PM,84,,,,,,,,,
  1:18:45 PM,84,,,,,,,,,
  1:19:00 PM,85,,,,,,,,,
  1:19:10 PM,84,,,,,,,,,
  1:19:25 PM,83,,,,,,,,,
  1:19:40 PM,84,,,,,,,,,
  1:19:50 PM,85,,,,,,,,,
  1:20:00 PM,86,,,,,,,,,
  1:20:10 PM,85,,,,,,,,,
  1:20:15 PM,85,,,,,,,,,
  1:20:25 PM,84,,,,,,,,,
  1:20:40 PM,84,,,,,,,,,
  1:20:50 PM,84,,,,,,,,,
  1:21:05 PM,84,,,,,,,,,
  1:21:10 PM,82,,,,,,,,,
  1:21:20 PM,83,,,,,,,,,
  1:21:30 PM,81,,,,,,,,,
  1:21:45 PM,81,,,,,,,,,
  1:21:50 PM,80,,,,,,,,,
  1:21:55 PM,83,,,,,,,,,
  1:22:05 PM,82,,,,,,,,,
  1:22:15 PM,81,,,,,,,,,
  1:22:30 PM,81,,,,,,,,,
  1:22:35 PM,81,,,,,,,,,
  1:22:45 PM,80,,,,,,,,,
  1:23:00 PM,80,,,,,,,,,
  1:23:15 PM,80,,,,,,,,,
  1:23:25 PM,82,,,,,,,,,
  1:23:40 PM,79,,,,,,,,,
