Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
69.0,65.0,74.0,1.13607986646,-0.270104406443,2.42258888209,2.0,2.0,3.0
65.0,65.0,67.0,0.00913786051659,-0.270104406443,0.328271879899,2.0,2.0,3.0
65.0,64.0,66.0,-0.200293839703,-0.569292549614,0.0290837367279,2.0,2.0,3.0
65.0,64.0,66.0,-0.0905915205405,-0.569292549614,0.0290837367279,1.0,2.0,3.0
65.0,64.0,66.0,-0.200293839703,-0.569292549614,0.0290837367279,1.0,2.0,3.0
70.0,64.0,72.0,1.49510563826,-0.569292549614,1.82421259575,3.0,2.0,3.0
70.0,70.0,72.0,1.36545744289,1.22583630941,1.82421259575,4.0,2.0,3.0
72.0,70.0,74.0,1.92394197681,1.22583630941,2.42258888209,4.0,2.0,3.0
70.0,70.0,71.0,1.41532213342,1.22583630941,1.52502445258,3.0,2.0,3.0
69.0,67.0,71.0,1.00643167109,0.328271879899,1.52502445258,4.0,2.0,3.0
66.0,66.0,67.0,0.118840179679,0.0290837367279,0.328271879899,1.0,2.0,3.0
68.0,67.0,70.0,0.896729351923,0.328271879899,1.22583630941,1.0,2.0,3.0
69.0,69.0,69.0,0.92664816624,0.92664816624,0.92664816624,4.0,2.0,3.0
70.0,69.0,72.0,1.32556569047,0.92664816624,1.82421259575,4.0,2.0,3.0
68.0,67.0,71.0,0.687297651704,0.328271879899,1.52502445258,4.0,2.0,3.0
73.0,71.0,74.0,2.23310305808,1.52502445258,2.42258888209,4.0,2.0,3.0
73.0,72.0,75.0,2.36275125346,1.82421259575,2.72177702527,4.0,2.0,3.0
74.0,72.0,75.0,2.44253475831,1.82421259575,2.72177702527,4.0,1.0,3.0
68.0,66.0,73.0,0.707243527914,0.0290837367279,2.12340073892,1.0,1.0,3.0
65.0,65.0,67.0,0.0191107986222,-0.270104406443,0.328271879899,1.0,1.0,3.0
66.0,66.0,66.0,0.0290837367279,0.0290837367279,0.0290837367279,4.0,1.0,3.0
59.0,59.0,66.0,-1.80593687472,-2.06523326547,0.0290837367279,4.0,1.0,3.0
60.0,60.0,61.0,-1.56658636019,-1.7660451223,-1.46685697913,4.0,1.0,3.0
61.0,60.0,63.0,-1.4169922886,-1.7660451223,-0.868480692785,4.0,1.0,3.0
62.0,62.0,63.0,-0.908372445208,-1.16766883596,-0.868480692785,1.0,1.0,3.0
63.0,63.0,63.0,-0.868480692785,-0.868480692785,-0.868480692785,1.0,1.0,3.0
65.0,63.0,69.0,-0.0606727062235,-0.868480692785,0.92664816624,1.0,1.0,3.0
64.0,64.0,66.0,-0.339914973183,-0.569292549614,0.0290837367279,1.0,1.0,3.0
64.0,62.0,66.0,-0.539373735298,-1.16766883596,0.0290837367279,1.0,1.0,3.0
62.0,61.0,63.0,-1.14772295975,-1.46685697913,-0.868480692785,1.0,1.0,3.0
62.0,61.0,63.0,-1.14772295975,-1.46685697913,-0.868480692785,1.0,1.0,3.0
62.0,61.0,64.0,-0.998128888162,-1.46685697913,-0.569292549614,1.0,1.0,3.0
62.0,62.0,65.0,-0.97818301195,-1.16766883596,-0.270104406443,1.0,1.0,1.0
64.0,63.0,65.0,-0.559319611508,-0.868480692785,-0.270104406443,1.0,1.0,1.0
67.0,65.0,68.0,0.328271879899,-0.270104406443,0.62746002307,1.0,1.0,1.0
66.0,65.0,67.0,0.118840179679,-0.270104406443,0.328271879899,1.0,1.0,1.0
68.0,68.0,69.0,0.747135280338,0.62746002307,0.92664816624,1.0,1.0,1.0
67.0,67.0,68.0,0.617487084964,0.328271879899,0.62746002307,1.0,1.0,1.0
64.0,62.0,67.0,-0.349887911289,-1.16766883596,0.328271879899,1.0,1.0,1.0
62.0,62.0,63.0,-1.07791239301,-1.16766883596,-0.868480692785,1.0,1.0,1.0
64.0,63.0,66.0,-0.3698337875,-0.868480692785,0.0290837367279,1.0,1.0,1.0
66.0,66.0,67.0,0.158731932102,0.0290837367279,0.328271879899,1.0,1.0,1.0
68.0,65.0,70.0,0.64740589928,-0.270104406443,1.22583630941,1.0,1.0,1.0
67.0,64.0,70.0,0.467893013378,-0.569292549614,1.22583630941,1.0,1.0,1.0
64.0,64.0,65.0,-0.459590230451,-0.569292549614,-0.270104406443,1.0,1.0,1.0
65.0,65.0,67.0,-0.000835077589137,-0.270104406443,0.328271879899,1.0,1.0,1.0
67.0,67.0,68.0,0.527730642013,0.328271879899,0.62746002307,1.0,1.0,1.0
65.0,63.0,67.0,-0.250158530232,-0.868480692785,0.328271879899,1.0,1.0,1.0
63.0,61.0,66.0,-0.78869718794,-1.46685697913,0.0290837367279,1.0,1.0,1.0
65.0,64.0,66.0,-0.170375025386,-0.569292549614,0.0290837367279,1.0,1.0,1.0
65.0,65.0,66.0,-0.16040208728,-0.270104406443,0.0290837367279,1.0,1.0,1.0
64.0,64.0,65.0,-0.329942035077,-0.569292549614,-0.270104406443,1.0,1.0,1.0
62.0,62.0,64.0,-1.14772295975,-1.16766883596,-0.569292549614,1.0,1.0,1.0
63.0,62.0,65.0,-0.828588940364,-1.16766883596,-0.270104406443,1.0,1.0,1.0
65.0,65.0,66.0,-0.100564458646,-0.270104406443,0.0290837367279,1.0,1.0,1.0
65.0,64.0,66.0,-0.150429149175,-0.569292549614,0.0290837367279,1.0,1.0,1.0
65.0,64.0,68.0,-0.170375025386,-0.569292549614,0.62746002307,1.0,1.0,1.0
67.0,66.0,68.0,0.388109508533,0.0290837367279,0.62746002307,1.0,1.0,2.0
67.0,64.0,72.0,0.408055384743,-0.569292549614,1.82421259575,1.0,1.0,2.0
64.0,64.0,66.0,-0.319969096972,-0.569292549614,0.0290837367279,1.0,1.0,2.0
66.0,66.0,67.0,0.108867241574,0.0290837367279,0.328271879899,1.0,1.0,2.0
67.0,67.0,68.0,0.34821775611,0.328271879899,0.62746002307,1.0,1.0,2.0
65.0,64.0,67.0,-0.140456211069,-0.569292549614,0.328271879899,1.0,1.0,2.0
64.0,63.0,66.0,-0.30002322076,-0.868480692785,0.0290837367279,1.0,1.0,2.0
65.0,64.0,66.0,-0.240185592126,-0.569292549614,0.0290837367279,1.0,1.0,2.0
62.0,61.0,66.0,-0.948264197633,-1.46685697913,0.0290837367279,1.0,1.0,2.0
61.0,61.0,61.0,-1.46685697913,-1.46685697913,-1.46685697913,1.0,1.0,2.0
61.0,61.0,64.0,-1.21753352649,-1.46685697913,-0.569292549614,1.0,1.0,2.0
63.0,62.0,64.0,-0.838561878469,-1.16766883596,-0.569292549614,1.0,1.0,2.0
