Mean_Heart_Rate,Min_Heart_Rate,Max_Heart_Rate,Mean_HR_std,Min_HR_std,Max_HR_std,Mode_Sound,Mode_Light,Mode_Attention
91,70,96,-0.297823766,-6.229241168,0.954773698,2,1,3
91,90,96,-0.408347071,-0.703075886,0.954773698,4,1,3
89,88,90,-0.933332773,-1.255692415,-0.703075886,2,1,3
94,90,96,0.457418823,-0.703075886,0.954773698,2,1,3
95,95,96,0.70609626,0.678465434,0.954773698,2,1,3
92,91,95,-0.122828532,-0.426767622,0.678465434,2,1,3
92,92,93,-0.058356604,-0.150459358,0.125848906,2,1,3
94,92,97,0.540311302,-0.150459358,1.231081962,2,1,3
97,97,98,1.4797594,1.231081962,1.507390226,2,1,3
98,98,98,1.507390226,1.507390226,1.507390226,2,1,3
97,97,98,1.442918298,1.231081962,1.507390226,2,1,3
98,97,100,1.516600501,1.231081962,2.060006754,2,1,3
97,93,100,1.240292237,0.125848906,2.060006754,2,1,3
96,93,99,0.973194249,0.125848906,1.78369849,2,1,3
97,96,99,1.313974441,0.954773698,1.78369849,2,1,3
97,96,99,1.424497747,0.954773698,1.78369849,2,1,3
92,88,99,0.061376977,-1.255692415,1.78369849,2,1,3
87,86,88,-1.384636271,-1.808308943,-1.255692415,2,1,3
85,84,87,-1.835939769,-2.360925471,-1.532000679,2,1,3
93,87,96,0.337685241,-1.532000679,0.954773698,2,1,3
93,93,96,0.392946894,0.125848906,0.954773698,2,1,3
96,93,98,1.166610034,0.125848906,1.507390226,2,1,3
95,91,99,0.779778464,-0.426767622,1.78369849,2,1,3
88,88,91,-1.016225252,-1.255692415,-0.426767622,2,1,3
87,86,89,-1.449108199,-1.808308943,-0.979384151,2,1,3
84,83,88,-2.13987886,-2.637233735,-1.255692415,2,1,3
91,88,95,-0.159669634,-1.255692415,0.678465434,2,1,3
94,93,95,0.512680475,0.125848906,0.678465434,2,1,1
92,90,94,-0.039936053,-0.703075886,0.40215717,2,1,1
90,89,91,-0.67544506,-0.979384151,-0.426767622,2,1,1
90,89,91,-0.684655336,-0.979384151,-0.426767622,2,1,1
89,88,92,-0.850440294,-1.255692415,-0.150459358,1,1,1
92,92,93,0.098218079,-0.150459358,0.125848906,1,1,1
90,88,93,-0.703075886,-1.255692415,0.125848906,1,1,1
92,91,94,-0.095197706,-0.426767622,0.40215717,1,1,1
92,91,93,0.006115325,-0.426767622,0.125848906,1,1,1
91,90,92,-0.316244317,-0.703075886,-0.150459358,1,1,1
91,90,93,-0.18730046,-0.703075886,0.125848906,1,1,1
91,90,93,-0.270192939,-0.703075886,0.125848906,1,2,1
94,93,96,0.531101026,0.125848906,0.954773698,1,1,1
94,94,95,0.494259924,0.40215717,0.678465434,1,2,1
92,90,94,-0.132038807,-0.703075886,0.40215717,1,2,1
89,88,90,-0.979384151,-1.255692415,-0.703075886,1,2,1
92,90,95,0.079797528,-0.703075886,0.678465434,1,2,1
91,90,95,-0.18730046,-0.703075886,0.678465434,1,2,1
91,89,93,-0.408347071,-0.979384151,0.125848906,1,2,1
90,89,91,-0.703075886,-0.979384151,-0.426767622,1,2,1
91,89,93,-0.270192939,-0.979384151,0.125848906,1,2,1
90,90,93,-0.454398449,-0.703075886,0.125848906,1,2,1
72,72,74,-1.101278442,-1.155769381,-0.688704185,2,1,2
86,74,91,2.144824668,-0.688704185,3.281349977,2,1,2
74,70,84,-0.626428826,-1.622834577,1.646621792,2,1,2
71,70,73,-1.171338221,-1.622834577,-0.922236783,2,1,2
72,72,73,-1.124631701,-1.155769381,-0.922236783,2,1,2
71,70,73,-1.186907061,-1.622834577,-0.922236783,2,1,2
73,73,75,-0.821039324,-0.922236783,-0.455171588,2,1,2
78,73,84,0.245426206,-0.922236783,1.646621792,2,1,3
79,76,85,0.533449743,-0.22163899,1.88015439,2,1,3
84,79,87,1.747819251,0.478958803,2.347219586,4,1,3
79,79,81,0.696922561,0.478958803,0.946023999,4,1,3
76,74,80,-0.120441531,-0.688704185,0.712491401,4,1,3
78,78,80,0.432252284,0.245426206,0.712491401,4,1,3
78,78,79,0.416683444,0.245426206,0.478958803,4,2,3
79,78,82,0.673569302,0.245426206,1.179556597,1,2,3
80,80,82,0.899317479,0.712491401,1.179556597,4,2,3
71,70,80,-1.186907061,-1.622834577,0.712491401,3,2,3
74,71,78,-0.657566506,-1.389301979,0.245426206,4,2,3
73,69,78,-0.828823744,-1.856367174,0.245426206,4,2,3
76,69,83,-0.112657111,-1.856367174,1.413089195,1,2,3
85,81,90,1.92686091,0.946023999,3.047817379,1,2,1
80,75,84,0.899317479,-0.455171588,1.646621792,1,2,1
73,71,75,-0.704273025,-1.389301979,-0.455171588,1,2,1
73,73,75,-0.766548385,-0.922236783,-0.455171588,1,1,1
75,73,79,-0.346189709,-0.922236783,0.478958803,1,1,1
80,79,83,0.914886319,0.478958803,1.413089195,1,1,1
79,79,80,0.642431622,0.478958803,0.712491401,1,1,1
78,77,79,0.307701565,0.011893608,0.478958803,1,1,1
79,77,80,0.564587423,0.011893608,0.712491401,1,1,1
78,77,80,0.416683444,0.011893608,0.712491401,1,1,1
