LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),SOUND LEVEL (dB),YYYY-MO-DD HH-MI-SS_SSS
-6.00E-04,-0.0128,0.0282,41.569,2,44.071,14:51:57:042
-0.0225,-0.0014,0.0529,40.4277,2,23.698,14:51:58:042
0.0093,-0.0391,-0.0791,40.8679,2,42.405,14:51:59:043
1.8715,-2.5508,-0.7713,3,2,51.442,14:52:00:043
1.3585,-1.292,0.4228,45.5661,2,64.221,14:52:01:042
0.3406,-0.2632,0.0873,45.4345,2,54.961,14:52:02:043
0.0059,-0.0164,-0.0408,46,2,36.29,14:52:03:043
-0.0162,-0.0101,-0.0368,46.4257,2,15.955,14:52:04:050
-0.0152,0.0234,0.0574,46,2,25.403,14:52:05:043
0.0047,0.0177,0.0638,45.4337,2,31.495,14:52:06:044
-0.0309,0.0037,-0.0302,45.5792,2,58.718,14:52:07:045
0.0174,0.0038,0.0273,45.8549,2,51.22,14:52:08:043
-0.0448,0.0924,-0.0385,46,2,70.946,14:52:09:043
0.0329,-0.0133,0.0154,45.8497,2,24.571,14:52:10:044
0.0412,-0.0349,-0.0562,46.573,2,38.635,14:52:11:044
0.0224,0.0167,-0.0066,46.8656,2,43.485,14:52:12:043
-0.037,0.1116,0.0016,47.1319,2,41.146,14:52:13:042
0.0215,-0.0438,-0.0311,46.4225,2,46.121,14:52:14:044
-0.0077,0.0253,0.0028,48,2,46.631,14:52:15:044
0.0369,0.0147,-0.0058,46.8656,2,45.082,14:52:16:044
0.0301,0.0413,4.00E-04,47,2,53.181,14:52:17:043
0.039,0.0012,-0.0509,46.8497,2,44.641,14:52:18:055
-0.0405,-0.0065,-0.0683,47.1362,2,40.429,14:52:19:043
0.0226,0.0355,0.0124,46,2,61.307,14:52:20:045
-0.0233,0.0099,-0.0186,47,2,43.235,14:52:21:044
-0.0082,0.048,-7.00E-04,47,2,48.348,14:52:22:043
0.0129,0.071,-0.0134,46.843,2,39.329,14:52:23:043
0.0036,0.0268,0.0247,47.5738,2,49.776,14:52:24:043
-0.0197,-0.0106,0.0346,47.1414,2,33.149,14:52:25:043
0.0283,0.0432,-0.0318,47.5781,2,57.823,14:52:26:043
0.0186,-0.018,0.044,46.4239,2,61.59,14:52:27:043
-0.007,0.0607,-0.009,46.8557,2,21.156,14:52:28:045
0.0052,0.0188,-0.0573,47.1674,2,46.079,14:52:29:043
0,-0.0029,0.0343,47.4226,2,63.735,14:52:30:043
-0.0092,0.0219,0.0053,46.4347,2,44.237,14:52:31:708
0.002,0.0329,0.0221,46.4344,2,60.549,14:52:32:707
-0.0106,-0.001,-0.0309,47.1401,2,58.704,14:52:33:707
-0.0218,-0.0381,-0.0765,46.4344,2,68.922,14:52:34:707
0.1882,-0.2046,0.2437,47.5653,2,47.449,14:52:35:708
-0.0101,0.0361,-0.0231,46.5653,2,55.014,14:52:36:707
0.016,-0.0358,-0.0579,47.5697,2,31.436,14:52:37:707
-0.009,0.0018,0.0115,47.1306,2,43.214,14:52:38:707
-0.018,0.0508,0.0376,46.8575,2,53.267,14:52:39:707
0.007,-0.0295,0.0547,46.5655,2,42.728,14:52:40:707
-0.0303,0.0023,0.0701,46.5655,2,42.481,14:52:41:707
0.0138,-0.0047,0.0024,46.5653,2,45.983,14:52:42:708
0.0172,0.0204,0.0051,46.4346,2,46.008,14:52:43:708
0.0065,-0.013,0.002,47.1346,2,53.717,14:52:44:707
-0.0013,0.0188,-0.0549,46.5657,2,45.602,14:52:45:707
8.0789,-4.4979,-2.5541,46.4345,2,67.789,14:52:46:708
-0.4819,-0.0278,-0.0148,46.5658,2,77.166,14:52:47:707
-0.1087,0.0173,0.0454,46.5661,2,75.228,14:52:48:707
-9.8044,-2.2635,1.3287,48,2,74.279,14:52:49:707
-0.116,-0.0491,-0.1223,46.5667,2,77.47,14:52:50:708
0.5491,4.9705,0.5518,46.434,2,76.592,14:52:51:707
-0.1713,-0.0264,0.1442,47.567,2,74.647,14:52:52:708
11.3422,1.6539,-2.6318,2,2,73.303,14:52:53:708
0.7525,-0.3623,-0.0757,2.4333,2,76.06,14:52:54:708
-0.1437,0.6503,0.6411,2.4332,2,68.062,14:52:55:707
0.2271,-2.8126,-0.8734,1.715,0,39.994,14:52:56:708
-0.0688,-0.3142,0.0807,1.715,0,33.651,14:52:57:707
0.3057,-0.3261,-0.445,1.715,0,33.331,14:52:58:707
-0.796,0.1154,0.3467,1.715,0,31.869,14:52:59:707
0.1055,0.0016,-0.301,1.715,0,47.545,14:53:00:707
0.5597,-0.1691,-0.9891,1.715,0,40.471,14:53:01:707
-0.1794,0.0144,0.5676,1.715,0,47.715,14:53:02:707
-0.4421,0.1696,0.0141,1.715,0,39.697,14:53:03:707
-0.0251,-0.0304,0.1336,1.715,0,36.98,14:53:04:708
-0.1752,-0.1005,-0.2728,1.715,0,28.951,14:53:05:707
-0.8849,0.3327,-0.1197,1.715,0,32.179,14:53:06:707
-0.1997,0.4048,0.2665,3,2,34.518,14:53:07:708
-0.734,-0.6503,1.1512,3,2,32.212,14:53:08:708
-0.7844,-0.0841,0.5701,3,2,40.97,14:53:09:708
0.093,-0.3152,0.5673,3,2,35.922,14:53:10:707
1.5681,0.8999,1.6639,3,2,34.104,14:53:11:708
2.8781,1.1363,2.7774,32.1411,2,34.23,14:53:12:937
-8.6981,4.1433,5.6152,9.7179,2,38.383,14:53:13:938
1.8146,0.339,-0.3925,7.425,2,41.38,14:53:14:937
-0.2865,0.6114,0.0902,100.4168,2,44.933,14:53:15:938
1.0257,0.2093,0.1706,113.2826,2,26.913,14:53:16:937
0.1153,0.0102,0.0735,113.5792,2,27.555,14:53:17:938
0.0103,0.0083,-0.0819,110.7138,2,30.575,14:53:18:938
-0.0049,-0.0178,-0.0291,112.6892,2,34.993,14:53:19:938
-0.0154,-0.0113,0.0155,112.4087,2,42.033,14:53:20:941
0.0068,-0.0391,-0.016,113.4051,2,42.348,14:53:21:938
0.003,0.0089,0.0151,109.3309,2,30.168,14:53:22:938
