LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (i),SOUND LEVEL (dB),YYYY-MO-DD HH-MI-SS_SSS
-9.00E-04,-0.0055,0.0189,50.1338,2,51.246,15:50:20:148
1.00E-04,-0.0293,-0.0123,51,2,58.119,15:50:21:149
-0.0181,0.0054,0.0369,50.1346,2,59.98,15:50:22:148
-0.0057,0.0273,0.0217,50.5666,2,52.075,15:50:23:148
-0.0114,0.0486,-0.021,50.4263,2,47.164,15:50:24:148
-0.0071,0.0039,0.0035,50.1331,2,35.841,15:50:25:148
0.037,-0.0223,0.0423,50.5662,2,43.555,15:50:26:148
-0.008,-0.0127,0.0226,50.1396,2,40.905,15:50:27:149
-0.0276,-0.0353,-0.0703,50.5663,2,61.137,15:50:28:148
-0.0106,0.053,0.0087,50.4329,2,49.153,15:50:29:149
0.0158,-0.0363,0.0311,50.5673,2,59.443,15:50:30:148
0.0245,-0.0257,-0.0245,51.4332,2,68.914,15:50:31:148
-0.0477,-0.0049,-0.034,50.5678,2,60.325,15:50:32:148
-0.0243,0.0122,-0.0349,51,2,61.831,15:50:33:148
8.00E-04,-0.0318,-0.0506,51.1334,2,19.412,15:50:34:148
0.0127,-0.0118,-0.0399,51,2,75.491,15:50:35:149
0.0438,-0.0439,-0.0373,51.5663,2,38.672,15:50:36:149
0.0725,0.0532,-0.0555,50.4339,2,46.667,15:50:37:148
0.0464,-0.0025,-0.0524,50.5659,2,52.169,15:50:38:149
-0.0082,-0.0406,-0.0435,50.5683,2,70.206,15:50:39:148
-0.0153,-0.0134,-0.015,51,2,69.865,15:50:40:149
-0.0557,0.0171,0.0241,51.5688,2,72.3,15:50:41:148
-5.00E-04,-0.0475,-0.0605,50.432,2,72.421,15:50:42:149
-0.0247,-0.0983,0.0105,50.5658,2,72.125,15:50:43:149
-0.0113,-0.0388,-0.0148,51,2,58.74,15:50:44:148
-0.0489,0.0235,0.0589,50.579,2,46.634,15:50:45:148
-0.0119,-0.0046,-0.0344,50.4332,2,50.261,15:50:46:149
-0.0236,-0.0334,-0.021,49.8691,2,51.089,15:50:47:148
-0.0317,0.0109,0.0026,50.4268,2,55.259,15:50:48:149
-0.0271,-0.0139,0.0727,49.8595,2,26.082,15:50:49:148
0.0083,-0.0322,-0.1017,50,2,46.276,15:50:50:148
-0.021,-0.0164,0.0115,49.8672,2,62.737,15:50:51:149
0.044,0.0133,0.0116,50.4265,2,41.699,15:50:52:148
0.0015,-0.003,0.0018,49.8495,2,28.995,15:50:53:148
0.0343,0.0088,-0.043,50.1597,2,33.532,15:50:54:148
-0.0298,0.014,0.0086,49.5721,2,38.708,15:50:55:148
0.0064,0.0181,-0.0035,49.867,2,36.907,15:50:56:148
-0.0043,-0.0092,0.0249,49.4269,2,30.759,15:50:57:149
-0.0188,-0.007,-0.0158,49.868,2,34.249,15:50:58:149
-0.0095,0.0029,0.0281,50,2,32.193,15:50:59:149
0.02,0.004,0.0409,49.5724,2,30.435,15:51:00:148
-0.0186,0.0321,0.0157,49.8633,2,32.943,15:51:01:149
-0.074,-0.0095,0.0345,49.4338,2,44.737,15:51:02:148
-0.0075,-0.008,-0.0366,49.8659,2,46.167,15:51:03:148
-0.0061,0.0042,0.0972,50.4335,2,29.592,15:51:04:149
-0.0172,0.0192,-0.0628,49.4331,2,46.192,15:51:05:148
-0.0068,0.0111,0.0621,50.4343,2,43.51,15:51:06:149
-0.018,0.023,0.0163,50.4336,2,18.091,15:51:07:149
0.0167,-0.0212,0.0191,38.5691,2,42.484,15:51:08:149
-0.016,-0.0245,-0.0467,34.5781,2,44.773,15:51:09:149
-0.0166,0.0169,0.0554,48.4335,2,38.091,15:51:10:149
-0.0042,0.0256,-0.0049,50.5663,2,36.355,15:51:11:148
-0.0061,0.0025,-0.0858,50,2,25.253,15:51:12:148
0.0066,0.0242,0.0337,49.8381,2,33.306,15:51:13:149
-0.0026,-0.0102,-0.015,49.852,2,36.002,15:51:14:148
-0.0093,-0.0248,-0.0212,50,2,40.958,15:51:15:149
-0.0163,-0.0021,0.0297,49.8632,2,60.242,15:51:16:148
0.0078,0.0038,-0.0223,50,2,73.726,15:51:17:149
0.0014,-0.0277,-0.0415,50.4312,2,51.864,15:51:18:149
0.013,0.0628,-0.0608,49.8673,2,57.244,15:51:19:149
0.0103,0.0628,-0.0823,50.4251,2,66.07,15:51:20:148
0.0163,0.0109,-0.0229,49.8615,2,31.642,15:51:21:148
-0.0153,0.0403,0.0166,50,2,58.676,15:51:22:148
-0.0052,0.0239,0.0457,50.4314,2,62.924,15:51:23:149
0.0357,0.0773,0.0122,49.8621,2,36.882,15:51:24:149
0.0088,0.0126,0.0941,50.5686,2,68.851,15:51:25:149
0.0231,-0.0015,0.0512,50.1373,2,60.276,15:51:26:149
-0.0225,0.0091,-0.0209,50.4314,2,52.291,15:51:27:150
-0.0024,-0.0284,-0.0295,50.1376,2,34.531,15:51:28:149
0.0188,-0.0143,-0.0874,50.5687,2,26.7,15:51:29:150
0.0184,-0.0236,0.0262,50.1369,2,46.246,15:51:30:149
0.0214,0.0082,-0.0528,50.5697,2,68.977,15:51:31:148
-0.038,-0.0248,0.0453,50.4276,2,75.122,15:51:32:149
0.0102,0.0148,-0.0784,51,2,70.241,15:51:33:149
0.001,-0.0982,-0.0593,49.8614,2,72.625,15:51:34:149
-0.0047,-0.042,-0.0382,50.4316,2,54.228,15:51:35:149
-0.0165,0.013,0.0692,49.8691,2,53.4,15:51:36:148
0.0126,-0.0368,-0.0167,50.4336,2,58.781,15:51:37:148
0.0105,-0.0016,-0.0025,49.8666,2,53.214,15:51:38:149
0.0118,0.0214,0.0424,50.4322,2,44.395,15:51:39:152
0.011,-0.0117,0.0439,50.4335,2,37.101,15:51:40:148
0.0158,-0.0066,-0.0118,50.5818,2,44.604,15:51:41:149
-0.0286,-0.0033,-0.0035,50.5712,2,42.107,15:51:42:149
0.006,-0.0096,-0.0181,51,2,29.632,15:51:43:149
-0.0142,-0.0227,0.0451,50.5812,2,17.44,15:51:44:149
-0.0215,-0.034,0.0092,50.1533,2,15.952,15:51:45:148
0.0315,-0.0224,-0.0117,50.5719,2,50.083,15:51:46:149
0.0052,-0.0079,0.0386,50.568,2,15.317,15:51:47:149
-0.0067,0.0161,0.0343,50.5665,2,19.628,15:51:48:148
0.0053,0.0422,0.0327,49.8649,2,28.029,15:51:49:150
0.0291,0.0019,0.0075,50.4317,2,29.492,15:51:50:149
-0.0137,-0.0401,0.0415,50.8638,2,34.549,15:51:51:149
0.0058,-0.003,0.0932,51,2,42.245,15:51:52:148
0.018,-0.0096,-0.0267,50.6014,2,30.704,15:51:53:151
0.0101,0.053,-0.0406,50.8457,2,34.073,15:51:54:149
-0.0188,0.0155,0.0229,50.4196,2,52.221,15:51:55:149
0.0119,0.0063,0.0161,51.1434,2,49.899,15:51:56:149
-0.0032,0.0411,-0.0139,51,2,35.55,15:51:57:151
-0.0378,-0.0022,0.0315,50.5732,2,39.368,15:51:58:148
0.0276,-0.0328,-0.0237,51,2,38.918,15:51:59:149
0.0069,-0.0201,-0.0092,50,2,40.233,15:52:00:151
-0.0136,-0.0061,-0.0791,51.5788,2,39.044,15:52:01:148
0.0189,-0.0316,-0.0532,51.4336,2,53.981,15:52:02:148
