LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (C),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0319,-0.0012,-0.0606,48.95,5,1015,28.9,37.848,3,17:55:52:877
-0.004,0.0152,0.0432,48.95,5,1015.07,28.9,51.085,1003,17:55:53:877
-0.0302,-0.0155,0.0229,48.95,5,1015.06,28.9,38.033,2003,17:55:54:877
0.0208,0.0158,0.0281,48.95,5,1015.01,28.9,37.207,3003,17:55:55:877
0.0225,0.0248,-0.0303,48.95,5,1015,28.9,37.647,4004,17:55:56:878
-0.0463,0.0121,0.0318,48.95,5,1014.99,28.9,36.6,5003,17:55:57:877
-0.0062,0.0996,-0.0539,48.95,5,1015.13,28.9,36.269,6003,17:55:58:877
0.0296,0.0215,-0.0358,48.95,5,1015.09,29,37.603,7003,17:55:59:877
-0.0208,0.0073,-0.0163,48.95,5,1015.03,29,36.819,8004,17:56:00:878
-0.0443,-0.0046,0.0624,48.95,5,1015,29,37.926,9004,17:56:01:878
-0.0102,0.0025,0.0163,48.95,5,1014.99,29,37.214,10004,17:56:02:878
-0.0349,-0.0105,0.0127,48.95,5,1015.02,29,37.862,11003,17:56:03:877
-0.0142,-0.0428,0.0506,48.95,5,1014.97,29,47.611,12004,17:56:04:878
-0.0335,0.0351,-0.0026,48.95,5,1014.95,29,44.54,13004,17:56:05:878
0.0064,-0.0052,-0.0669,48.95,5,1014.95,29,49.351,14004,17:56:06:878
-0.044,0.0269,0.0252,48.95,5,1014.95,28.9,44.65,15004,17:56:07:878
-0.015,0.0029,-0.0446,48.95,5,1014.95,28.9,57.372,16004,17:56:08:878
0.001,-0.0282,-0.0432,48.95,5,1015.03,28.9,41.922,17004,17:56:09:878
-0.0625,0.042,0.0234,48.95,5,1015.06,29,40.781,18003,17:56:10:877
0.017,0.0109,0.0875,48.95,5,1015.14,29,58.878,19003,17:56:11:877
-0.0209,0.0373,0.0392,48.95,5,1015.15,29,48.623,20004,17:56:12:878
0.0119,-0.0207,0.0348,48.95,5,1015.09,29,41.928,21004,17:56:13:878
-0.0477,-7.00E-04,0.0043,48.95,5,1015.05,29,38.644,22003,17:56:14:877
0.1043,-0.0524,-0.0712,48.95,5,1014.99,29,39.217,23004,17:56:15:878
0.0308,-0.042,0.0796,38.48,5,1014.97,29,37.09,24003,17:56:16:877
-0.0026,0.0303,-0.016,42.73,5,1014.98,29,38.45,25004,17:56:17:878
-0.0506,-0.0107,0.0546,37.63,5,1014.97,29,38.538,26004,17:56:18:878
0.0104,0.1008,0.0039,41.6,5,1014.96,29,36.919,27004,17:56:19:878
0.048,0.0509,0.0443,41.6,5,1014.97,29,38.293,28003,17:56:20:877
0.0532,0.0253,-0.0032,41.6,5,1014.96,29,38.784,29004,17:56:21:878
0.0589,0.011,-0.0313,41.6,5,1014.96,29,36.576,30003,17:56:22:877
-6.00E-04,-0.026,0.0484,45.84,5,1015.2,29,36.772,31003,17:56:23:877
-0.02,4.00E-04,-0.0557,45.84,5,1015.51,29,36.025,32004,17:56:24:878
-0.0112,0.0359,-0.0035,45.84,5,1015.47,29.1,36.529,33003,17:56:25:877
0.0132,0.0015,0.0285,45.84,5,1015.42,29.1,36.045,34003,17:56:26:877
0.0165,-0.0109,0.0495,45.84,5,1015.33,29.1,35.487,35004,17:56:27:878
-0.0423,-0.0406,-0.0707,45.84,5,1015.36,29.1,37.413,36004,17:56:28:878
0.0124,-0.0197,0.0077,45.84,5,1015.32,29.2,35.688,37003,17:56:29:877
-0.0163,-0.0195,0.0632,45.84,5,1015.28,29.2,36.106,38003,17:56:30:877
0.0459,0.0078,0.0351,45.84,5,1015.32,29.2,36.64,39003,17:56:31:877
-0.0038,0.0295,-0.0105,45.84,5,1015.37,29.2,36.928,40004,17:56:32:878
-0.0202,-0.0326,-0.0194,45.84,5,1015.34,29.3,36.037,41003,17:56:33:877
-0.0133,-0.0207,0.0426,45.84,5,1015.34,29.3,42.312,42004,17:56:34:878
-5.00E-04,-0.023,0.016,45.84,5,1015.34,29.3,39.287,43004,17:56:35:878
-0.005,0.0124,0.0139,45.84,5,1015.26,29.3,40.947,44004,17:56:36:878
0.0325,-0.0128,-0.0833,45.84,5,1015.22,29.4,37.416,45004,17:56:37:878
-0.0124,-0.0261,0.0035,45.84,5,1015.25,29.4,42.033,46003,17:56:38:877
0.0335,-0.02,0.0185,45.84,5,1015.29,29.4,42.382,47003,17:56:39:877
-0.0068,0.0238,0.0191,45.84,5,1015.25,29.4,36.638,48004,17:56:40:878
0.0084,0.0663,0.0403,45.84,5,1015.19,29.5,36.938,49004,17:56:41:878
0.0292,-0.0329,-0.0068,45.84,5,1015.2,29.5,38.001,50003,17:56:42:877
0.0116,-0.0034,-0.0553,45.84,5,1015.23,29.5,37.591,51004,17:56:43:878
0.0353,0.0118,-0.0078,45.84,5,1015.15,29.5,37.595,52004,17:56:44:878
0.002,0.0174,-0.0261,45.84,5,1015.14,29.5,35.927,53004,17:56:45:878
0.0348,0.0177,0.095,45.84,5,1015.11,29.5,42.141,54003,17:56:46:877
0.0234,0.0129,-0.0299,45.84,5,1015.07,29.5,39.709,55004,17:56:47:878
0.0141,0.0053,0.0301,45.84,5,1015.07,29.5,42.932,56003,17:56:48:877
-0.0734,-0.008,-0.0213,45.84,5,1015.08,29.5,51.734,57003,17:56:49:877
-0.0464,0.0184,0.0201,45.84,5,1015.07,29.6,49.999,58003,17:56:50:877
0.0348,-0.0421,-7.00E-04,45.84,5,1015.08,29.6,43.299,59004,17:56:51:878
0.0671,0.0293,3.00E-04,45.84,5,1015.11,29.6,43.592,60003,17:56:52:877
-0.0516,-0.0064,0.0616,45.84,5,1015.11,29.6,47.553,61004,17:56:53:878
-0.0073,-0.0273,-0.0204,45.84,5,1015.13,29.6,48.421,62004,17:56:54:878
0.0392,-0.0012,0.01,45.84,5,1015.23,29.6,50.945,63003,17:56:55:877
-0.0052,0.0197,-0.0356,45.84,5,1015.23,29.6,53.46,64005,17:56:56:879
0.0313,0.0013,-0.0075,45.84,5,1015.25,29.6,56.159,65004,17:56:57:878
0.0346,0.0097,-0.0132,45.84,5,1015.21,29.6,39.797,66003,17:56:58:877
-0.0591,0.035,-0.0329,45.84,5,1015.21,29.6,37.905,67004,17:56:59:878
-0.016,0.0437,0.0502,45.84,5,1015.3,29.7,38.845,68004,17:57:00:878
-0.0077,-0.0209,0.0941,45.84,5,1015.25,29.7,42.213,69003,17:57:01:877
-0.0374,-0.0043,0.0508,45.84,5,1015.24,29.7,48.444,70003,17:57:02:877
-0.0078,-0.0021,0.0017,45.84,5,1015.4,29.7,57.042,71003,17:57:03:877
0.0161,0.0016,0.0143,45.84,5,1015.88,29.7,56.015,72004,17:57:04:878
-0.0247,-0.0226,0.0068,45.84,5,1016.25,29.8,54.743,73003,17:57:05:877
0.0182,-0.0044,0.0366,45.84,5,1016.07,29.9,52.239,74004,17:57:06:878
0.0753,-0.0389,-0.0637,45.84,5,1015.8,30,50.119,75003,17:57:07:877
0.0056,0.0664,0.0384,45.84,5,1015.62,30,53.042,76003,17:57:08:877
0.0357,0,0.0544,45.84,5,1015.54,30.1,49.097,77004,17:57:09:878
0.0306,-0.0392,0.0024,45.84,5,1015.42,30.1,50.994,78005,17:57:10:879
-0.025,-0.0548,0.0935,50.65,5,1015.38,30.1,51.577,79004,17:57:11:878
0.0286,-0.0381,0.0159,50.65,5,1015.39,30.2,49.946,80004,17:57:12:878
-0.0172,0.0244,-0.0118,50.65,5,1015.29,30.2,49.864,81004,17:57:13:878
-0.0263,0.0387,0.0108,50.65,5,1015.25,30.2,49.132,82003,17:57:14:877
-0.0319,-0.0137,-0.1195,50.65,5,1015.17,30.2,53.263,83003,17:57:15:877
0.0183,-0.0162,0.0299,50.65,5,1015.06,30.2,56.666,84003,17:57:16:877
0.0405,-0.0262,0.0847,50.65,5,1015.04,30.2,55.467,85003,17:57:17:877
0.0248,0.0587,-0.0387,50.65,5,1015.02,30.2,50.25,86004,17:57:18:878
-0.0059,-0.0333,-0.0248,50.65,5,1015.07,30.2,55.914,87003,17:57:19:877
-0.0262,0.0018,0.0156,50.65,5,1015.09,30.2,52.625,88003,17:57:20:877
0.0134,-0.0282,-0.0046,50.65,5,1015.15,30.2,53.435,89003,17:57:21:877
0.0578,-0.0489,2.00E-04,50.65,5,1015.14,30.2,49.787,90003,17:57:22:877
-0.0108,-0.003,-0.0343,51.5,5,1015.36,30.3,52.672,91004,17:57:23:878
-0.0237,-0.038,0.0206,51.5,5,1015.37,30.3,50.82,92004,17:57:24:878
-0.021,-0.0083,0.035,51.5,5,1015.11,30.3,49.88,93003,17:57:25:877
0.0344,0.0303,-0.0099,51.5,5,1014.78,30.3,55.717,94004,17:57:26:878
0.0285,-0.0059,-0.0401,51.5,5,1014.49,30.3,51.734,95003,17:57:27:877
-0.0042,-0.0037,0.0014,51.5,5,1014.39,30.2,52.66,96004,17:57:28:878
-0.0115,0.0114,0.0055,51.5,5,1014.32,30.2,54.554,97004,17:57:29:878
0.0226,-0.0031,0.0667,51.5,5,1014.25,30.1,39.493,98004,17:57:30:878
-0.0209,6.00E-04,0.004,51.5,5,1014.25,30.1,36.123,99004,17:57:31:878
0.0142,0.0604,-0.0058,51.5,5,1014.26,30,34.613,100004,17:57:32:878
-0.0617,-0.0068,0.0897,51.5,5,1014.25,29.9,35.103,101004,17:57:33:878
-0.0186,-0.0273,-0.0415,51.5,5,1014.22,29.9,35.253,102004,17:57:34:878
0.0027,0.0588,0.0348,51.5,5,1014.22,29.8,60.918,103004,17:57:35:878
0.0193,0.0082,-0.0193,51.5,5,1014.21,29.8,59.532,104004,17:57:36:878
-0.0477,0.05,-0.006,51.5,5,1014.23,29.7,53.381,105004,17:57:37:878
0.0317,0.0348,0.0672,51.5,5,1014.23,29.7,51.711,106004,17:57:38:878
-0.0409,-0.0277,0.0602,51.5,5,1014.28,29.6,49.316,107003,17:57:39:877
0.0344,-0.0139,-0.0349,51.5,5,1014.32,29.6,47.191,108004,17:57:40:878
0.0261,-0.0344,-0.0545,51.5,5,1014.33,29.5,49.685,109004,17:57:41:878
0.0111,-0.0369,-0.1114,51.5,5,1014.35,29.5,44.86,110004,17:57:42:878
-0.0158,-0.0265,-0.0192,51.5,5,1014.37,29.4,43.126,111004,17:57:43:878
0.0044,0.0089,0.0424,51.5,5,1014.4,29.4,45.582,112003,17:57:44:877
-0.0313,0.0105,-0.0593,51.5,5,1014.39,29.4,49.374,113004,17:57:45:878
0.0303,0.0124,-0.0256,51.5,5,1014.44,29.3,40.547,114004,17:57:46:878
